iter	Logloss
0	0.6890208794
1	0.6843306885
2	0.6803483776
3	0.676006929
4	0.6721265415
5	0.6681741984
6	0.6641600199
7	0.6600898764
8	0.6564230867
9	0.6529432235
10	0.6486501527
11	0.6452554661
12	0.6413985742
13	0.6373001474
14	0.6339037333
15	0.6296026386
16	0.6261051043
17	0.6226707231
18	0.6190889497
19	0.6153103257
20	0.6123602106
21	0.6088416766
22	0.6051371758
23	0.6020153573
24	0.5991646226
25	0.5961649762
26	0.5933917424
27	0.5896064543
28	0.5865578677
29	0.5830688602
30	0.5810388108
31	0.5781662631
32	0.5752600242
33	0.5721759707
34	0.5696416449
35	0.5668256485
36	0.5638862456
37	0.5609089203
38	0.5577449095
39	0.5551688451
40	0.5527326541
41	0.5498330127
42	0.5478034678
43	0.5452781241
44	0.5429951652
45	0.5399456689
46	0.5376404086
47	0.5353445784
48	0.5324780442
49	0.5302921291
50	0.5279957322
51	0.5252795342
52	0.5232018296
53	0.5201691136
54	0.5180847631
55	0.5156389225
56	0.5133609229
57	0.5115055551
58	0.5090642377
59	0.5065714328
60	0.5039717832
61	0.5018643799
62	0.4995163298
63	0.49748211
64	0.4954424034
65	0.4933285035
66	0.4916514479
67	0.4896429513
68	0.4871476966
69	0.4854225591
70	0.4836431398
71	0.4816597091
72	0.4793364906
73	0.4776791604
74	0.4759664442
75	0.4740670439
76	0.4719330575
77	0.4703250818
78	0.4682999128
79	0.4666072807
80	0.4650592154
81	0.4635837536
82	0.46159096
83	0.4594669225
84	0.4574972424
85	0.4560616293
86	0.4540512176
87	0.4521372557
88	0.4503680685
89	0.4492016326
90	0.4473965329
91	0.4459590724
92	0.4442833826
93	0.4428219623
94	0.441073197
95	0.440007202
96	0.4381666195
97	0.4364505458
98	0.4351034361
99	0.4337578779
100	0.4322756164
101	0.430599855
102	0.4294439073
103	0.4280284995
104	0.4271193192
105	0.4258010709
106	0.4246323631
107	0.4229664911
108	0.4218332799
109	0.4204858967
110	0.4191490852
111	0.4178175919
112	0.4160597538
113	0.4146946499
114	0.4135683734
115	0.4119208653
116	0.4105377685
117	0.4093947497
118	0.4078147454
119	0.4069091829
120	0.405397076
121	0.4042713752
122	0.4031281823
123	0.4024828285
124	0.4014984999
125	0.4003592749
126	0.3996053582
127	0.3981184848
128	0.397051303
129	0.3960377068
130	0.3948941002
131	0.3937045008
132	0.3926883851
133	0.3914672761
134	0.3899752714
135	0.3889639284
136	0.3876002051
137	0.3865349811
138	0.3854547229
139	0.3846842858
140	0.3835030618
141	0.3828801973
142	0.3817569458
143	0.3810587425
144	0.3796920394
145	0.3787479252
146	0.3774378219
147	0.376482052
148	0.3754598931
149	0.3744283485
150	0.3733302585
151	0.3726177314
