iter	Passed	Remaining
0	3	3124
1	4	2363
2	6	2096
3	7	1950
4	9	1955
5	11	1833
6	12	1749
7	13	1702
8	14	1645
9	16	1599
10	17	1600
11	19	1566
12	20	1548
13	21	1519
14	22	1494
15	23	1473
16	25	1458
17	26	1441
18	27	1430
19	28	1420
20	30	1414
21	31	1420
22	33	1424
23	34	1423
24	36	1417
25	37	1423
26	39	1418
27	40	1418
28	42	1422
29	44	1427
30	45	1413
31	46	1408
32	48	1408
33	49	1414
34	51	1413
35	53	1420
36	54	1414
37	55	1408
38	56	1402
39	58	1398
40	59	1394
41	60	1390
42	62	1387
43	63	1381
44	65	1380
45	66	1378
46	67	1373
47	69	1371
48	70	1372
49	72	1372
50	73	1368
51	74	1363
52	76	1368
53	78	1366
54	81	1392
55	82	1389
56	84	1390
57	85	1389
58	87	1390
59	88	1390
60	90	1386
61	91	1391
62	93	1392
63	95	1402
64	97	1403
65	99	1407
66	100	1405
67	102	1402
68	103	1399
69	105	1396
70	106	1394
71	107	1391
72	109	1389
73	110	1388
74	112	1386
75	113	1385
76	115	1381
77	116	1381
78	118	1379
79	119	1377
80	120	1372
81	122	1374
82	124	1373
83	125	1370
84	127	1369
85	128	1368
86	130	1367
87	131	1366
88	133	1364
89	134	1361
90	136	1360
91	137	1358
92	139	1355
93	140	1354
94	142	1352
95	143	1350
96	144	1348
97	146	1348
98	148	1347
99	150	1351
100	151	1349
101	153	1347
102	154	1347
103	156	1345
104	157	1341
105	158	1339
106	160	1337
107	162	1338
108	163	1340
109	165	1339
110	167	1339
111	168	1337
112	170	1336
113	171	1334
114	173	1332
115	174	1330
116	176	1328
117	177	1327
118	179	1325
119	180	1323
120	182	1325
121	183	1323
122	186	1326
123	186	1319
124	188	1321
125	190	1322
126	192	1323
127	194	1322
128	196	1323
129	197	1322
130	199	1321
131	200	1320
132	202	1319
133	203	1318
134	205	1316
135	206	1314
136	208	1313
137	210	1313
138	211	1311
139	213	1309
140	214	1308
141	215	1303
142	217	1302
143	218	1300
144	220	1300
145	222	1298
146	223	1296
147	225	1295
148	226	1295
149	228	1294
150	230	1294
151	232	1294
152	233	1293
153	235	1292
154	236	1291
155	238	1290
156	240	1289
157	241	1288
158	243	1287
159	245	1286
160	246	1286
161	248	1287
162	251	1289
163	252	1289
164	254	1289
165	256	1290
166	258	1290
167	260	1290
168	262	1289
169	264	1291
170	266	1292
171	268	1293
172	270	1292
173	272	1291
174	273	1290
175	275	1289
176	277	1290
177	278	1286
178	280	1286
179	282	1285
180	283	1283
181	285	1282
182	287	1282
183	288	1281
184	290	1280
185	292	1281
186	294	1281
187	296	1281
188	298	1280
189	300	1279
190	302	1281
191	304	1280
192	306	1281
193	308	1280
194	310	1281
195	312	1280
196	313	1279
197	315	1278
198	317	1278
199	319	1277
200	321	1277
201	323	1276
202	324	1275
203	326	1275
204	328	1274
205	330	1273
206	332	1272
207	333	1271
208	335	1269
209	337	1268
210	339	1267
211	340	1266
212	342	1265
213	344	1264
214	346	1263
215	347	1262
216	349	1260
217	351	1260
218	353	1259
219	354	1257
220	356	1256
221	357	1253
222	359	1251
223	361	1252
224	363	1252
225	365	1250
226	366	1249
227	368	1248
228	370	1246
229	372	1245
230	373	1244
231	375	1242
232	377	1242
233	379	1242
234	381	1241
235	383	1240
236	384	1238
237	386	1238
238	388	1236
239	390	1235
240	391	1233
241	393	1233
242	395	1232
243	397	1231
244	399	1230
245	400	1228
246	402	1228
247	404	1227
248	406	1225
249	408	1225
250	409	1222
251	411	1220
252	413	1220
253	415	1220
254	417	1219
255	418	1217
256	421	1217
257	422	1216
