,f,$(En)diff_{ab}$,$Fi_b$,$(En)diff_{cb}$,LUMO_character,LUMO_element,$Ce_a$,$R_b$,$D_b$,$Dp_b$,$Dp_a$,$o$,$(En)diff_{ca}$,0
0,1,0.32,523.5,2.17,1,71,1.72,0.86,9.84,137.0,197.2,0.6142857142857143,2.49,0
1,1,0.0999999999999998,538.1,2.34,4,63,1.86,1.03,6.15,215.0,184.0,0.7357142857142858,2.24,1
2,2,0.3199999999999998,737.7,2.13,3,23,5.31,0.72,1.74,71.2,87.0,0.5142857142857143,1.81,0
3,1,0.3299999999999998,633.1,1.22,1,48,1.16,0.75,2.99,97.0,46.0,0.4076086956521739,0.8900000000000001,1
4,-2,0.2300000000000002,731.0,1.51,1,47,6.82,0.94,10.5,55.0,87.0,0.6714285714285715,1.2799999999999998,1
5,-1,0.5699999999999998,640.1,1.25,1,29,3.49,0.8095,6.51,112.0,46.5,0.439945652173913,0.6800000000000002,0
6,-10,0.47,558.3,0.7699999999999998,2,34,1.51,0.8,7.31,65.0,71.2,0.4040404040404041,1.2399999999999998,1
7,2,0.1800000000000001,527.0,1.4500000000000002,4,59,1.51,0.99,6.77,216.0,71.2,0.5380434782608695,1.27,1
8,0,0.24,717.3,1.03,2,16,1.51,0.65,7.44,68.0,71.2,0.3532608695652174,1.27,0
9,-2,0.3799999999999999,719.7,0.27,3,29,3.49,0.67,12.4,66.0,46.5,0.3383838383838384,0.6499999999999999,0
10,-1,0.3999999999999999,719.7,1.16,3,45,4.39,0.67,12.4,66.0,55.0,0.4785714285714286,1.56,0
11,0,0.3,577.5,1.83,1,13,1.51,0.54,2.7,57.8,71.2,0.3857142857142858,2.13,0
12,-10,0.47,558.3,1.66,1,49,1.51,0.8,7.31,65.0,71.2,0.5714285714285715,2.13,1
13,0,0.0799999999999998,577.5,1.83,1,13,1.16,0.54,2.7,57.8,46.0,0.3857142857142858,1.75,0
14,0,0.6299999999999999,650.9,1.81,3,23,1.84,0.64,6.11,87.0,160.8,0.4571428571428572,2.44,1
15,0,0.1099999999999998,658.8,1.9,3,22,1.35,0.67,4.54,100.0,38.67,0.4785714285714286,1.79,0
16,0,0.03,760.4,1.56,3,27,4.44,0.61,8.86,55.0,49.0,0.4357142857142857,1.53,0
17,-1,0.3499999999999998,652.9,0.8899999999999999,3,24,1.51,0.62,7.15,83.0,71.2,0.3131313131313131,1.2399999999999998,0
18,-1,0.01,652.9,1.78,3,24,1.35,0.62,7.15,83.0,38.67,0.4428571428571429,1.79,0
19,2,0.07,589.3,1.34,2,16,1.51,0.89,9.07,150.0,71.2,0.483695652173913,1.27,1
20,2,0.1999999999999999,565.8,2.24,4,65,1.84,0.92,8.23,170.0,160.8,0.6571428571428573,2.44,0
21,0,0.0999999999999998,578.8,1.63,2,8,4.44,0.62,5.91,50.0,49.0,0.4428571428571429,1.53,0
22,0,0.1299999999999999,760.4,1.56,3,27,3.85,0.61,8.86,55.0,40.0,0.4357142857142857,1.4300000000000002,0
23,-10,0.1300000000000001,558.3,1.66,1,49,1.35,0.8,7.31,65.0,38.67,0.5714285714285715,1.79,0
24,0,0.25,650.9,1.81,3,23,4.39,0.64,6.11,87.0,55.0,0.4571428571428572,1.56,0
25,0,0.0799999999999998,737.1,0.6700000000000002,2,16,4.28,0.6,8.91,49.0,62.0,0.3260869565217391,0.75,0
26,-1,0.25,745.5,1.54,3,29,1.35,0.54,8.96,46.5,38.67,0.3857142857142858,1.79,0
27,0,0.3199999999999998,650.9,0.9500000000000002,3,23,1.51,0.64,6.11,87.0,71.2,0.3478260869565217,1.27,0
28,0,0.8300000000000001,762.5,1.61,3,26,1.84,0.65,7.87,62.0,160.8,0.4642857142857143,2.44,1
29,1,0.47,600.0,1.3299999999999998,1,48,1.16,0.9,4.47,162.0,46.0,0.4545454545454546,0.8599999999999999,1
30,-10,0.2199999999999999,558.3,0.8,2,16,0.67,0.8,7.31,65.0,33.91,0.4347826086956521,0.5800000000000001,0
31,-1,0.2199999999999999,652.9,1.78,1,24,4.39,0.62,7.15,83.0,55.0,0.4428571428571429,1.56,1
32,2,0.4499999999999999,589.3,1.34,2,16,1.16,0.89,9.07,150.0,46.0,0.483695652173913,0.8900000000000001,1
33,0,1.0499999999999998,770.0,0.2200000000000002,3,74,1.51,0.7479,19.3,68.0,71.2,0.4064673913043478,1.27,0
34,-1,0.6499999999999999,650.9,1.81,3,23,1.63,0.61,6.11,87.0,164.1125,0.4357142857142857,2.46,0
35,-2,0.3799999999999999,719.7,1.16,3,29,3.49,0.67,12.4,66.0,46.5,0.4785714285714286,1.54,0
36,-1,0.1500000000000001,652.9,0.9200000000000002,3,24,2.81,0.71,7.15,83.0,50.0,0.3858695652173912,0.77,0
37,-11,0.1199999999999998,558.3,0.8,3,29,3.49,0.8,7.31,65.0,46.5,0.4347826086956521,0.6800000000000002,0
38,0,0.0999999999999998,737.1,1.53,2,8,3.85,0.6,8.91,49.0,40.0,0.4285714285714286,1.4300000000000002,1
39,-1,0.01,652.9,0.9200000000000002,3,24,1.35,0.62,7.15,83.0,38.67,0.3369565217391304,0.9300000000000002,0
40,-9,0.96,708.6,1.48,2,8,1.84,0.8647,7.29,53.0,160.8,0.6176428571428572,2.44,0
41,-1,0.03,652.9,1.78,3,23,5.31,0.62,7.15,83.0,87.0,0.4428571428571429,1.81,0
42,1,0.1899999999999999,633.1,1.22,2,16,2.92,0.75,2.99,97.0,68.0,0.4076086956521739,1.03,0
43,0,0.33,717.3,1.89,3,25,3.04,0.65,7.44,68.0,163.0,0.4642857142857143,2.22,0
44,-1,0.1099999999999998,652.9,0.9200000000000002,1,25,2.92,0.62,7.15,83.0,68.0,0.3369565217391304,1.03,0
45,1,0.2899999999999998,633.1,1.22,1,30,1.35,0.75,2.99,97.0,38.67,0.4076086956521739,0.9300000000000002,1
46,-1,0.0499999999999998,652.9,1.78,3,24,3.39,0.71,7.15,83.0,57.8,0.5071428571428571,1.83,0
47,-1,1.16,684.3,1.2799999999999998,3,42,1.84,0.69,10.2,87.0,160.8,0.4928571428571428,2.44,1
48,-9,1.0499999999999998,834.0,1.39,2,51,1.84,0.76,6.69,43.0,160.8,0.5428571428571429,2.44,0
49,-1,0.2899999999999998,577.5,1.83,3,29,3.49,0.54,2.7,57.8,46.5,0.3857142857142858,1.54,0
50,-10,0.0999999999999998,558.3,0.7699999999999998,2,34,4.39,0.8,7.31,65.0,55.0,0.4040404040404041,0.6699999999999999,0
51,0,0.5999999999999999,737.1,0.6700000000000002,2,16,1.51,0.6,8.91,49.0,71.2,0.3260869565217391,1.27,0
52,1,0.1999999999999999,593.4,2.24,2,8,1.84,0.94,7.9,158.0,160.8,0.6714285714285715,2.44,1
53,1,0.1899999999999999,633.1,1.1899999999999995,2,34,2.92,0.75,2.99,97.0,68.0,0.3787878787878788,0.9999999999999998,0
54,-8,0.71,703.0,1.42,2,83,1.51,1.03,9.81,48.0,71.2,0.7357142857142858,2.13,0
55,-1,0.93,731.0,1.51,3,47,1.84,0.75,10.5,55.0,160.8,0.5357142857142857,2.44,0
56,0,1.0499999999999998,770.0,1.08,3,74,1.51,0.7479,19.3,68.0,71.2,0.5342142857142858,2.13,1
57,-1,0.6599999999999999,652.9,1.78,3,24,1.84,0.62,7.15,83.0,160.8,0.4428571428571429,2.44,0
58,-10,0.2199999999999999,558.3,1.66,1,49,0.67,0.8,7.31,65.0,33.91,0.5714285714285715,1.44,0
59,2,0.1800000000000001,540.0,1.42,4,61,1.51,0.97,7.26,200.0,71.2,0.4898989898989899,1.2399999999999998,1
60,-2,0.27,652.9,0.9200000000000002,1,24,2.95,0.62,7.15,83.0,55.0,0.3369565217391304,0.6500000000000001,0
61,-1,0.27,650.9,0.9500000000000002,3,23,3.49,0.64,6.11,87.0,46.5,0.3478260869565217,0.6800000000000002,0
62,0,0.6299999999999999,650.9,0.9500000000000002,3,23,1.84,0.64,6.11,87.0,160.8,0.3478260869565217,1.58,0
63,0,0.1899999999999999,578.8,1.63,1,31,0.67,0.62,5.91,50.0,33.91,0.4428571428571429,1.44,0
64,2,1.4299999999999995,495.8,2.51,3,74,8.9,1.02,0.971,162.7,68.0,0.7285714285714286,1.08,1
65,-1,0.3400000000000001,652.9,1.78,3,24,0.67,0.62,7.15,83.0,33.91,0.4428571428571429,1.44,0
66,-1,0.8999999999999999,760.4,0.7000000000000002,2,16,1.63,0.5700000000000001,8.86,55.0,164.1125,0.3097826086956522,1.6,0
