,$y$,$R_c$,$V_a$,$R_a$,$R_b$,$D_a$,$D_b$,$Ce_a$,$Ce_b$,$Ce_c$,$Dp_a$,$Dp_b$,$Fi_b$,$N_b$,$F_a$,$F_b$,$Ns_a$,$Ns_b$,$Np_a$,$Np_b$,$Nd_b$,$(En)diff_{ab}$,$(En)diff_{cb}$,$(En)diff_{ca}$,$o$,HOMO_character,HOMO_element,HOMO_energy,LUMO_character,LUMO_element,gap_AO,mean Voro_index_3,mean Voro_index_4,mean Voro_index_5,mean Voro_index_6,mean Voro_index_8,mean Voro_index_9
$y$,1.0,0.16845999527932215,0.1251518696192437,-0.03063898830913093,0.4207546508944709,-0.09652475621295993,-0.006458637276836592,-0.13103153965885214,-0.08149361716823411,-0.1459486755563469,-0.07043144832356853,0.4294051837764497,-0.24468807446387186,0.29491151132654675,-0.046773112949253806,-0.3859748177287813,0.21422394149740676,0.16337300732936003,0.08105505998554312,-0.14735139643588946,-0.31389512691292903,-0.0345017783036215,0.12532254149111738,-0.07737506805171422,0.2241493061600394,0.01779988872603519,0.12046288360645016,-0.09043175406372891,-0.153805246026771,0.14857632887891994,0.0905005141081592,-0.13745796443400832,-0.09646472031665212,0.03355291266959117,-0.10131034318286336,-0.047030263260212535,0.019986304938183513
$R_c$,0.16845999527932215,1.0,-0.16975908197599232,-0.014586607206008071,0.20594108969720823,0.0016069532103577889,-0.06215305889225286,-0.2342323725532409,-0.12527743204742742,0.2765331104595628,-0.13711598578919812,0.32153093439614333,-0.37212045584688935,0.22480250257250414,-0.09354724013212465,-0.1812634530078007,0.06328128109631305,0.0411716662415827,-0.19114966293817875,-0.0945982300287719,-0.24719964539588365,-0.18284736854442696,-0.7090220414226708,-0.7701608032887839,-0.5089149328710602,-0.26168585615771617,0.08039991708405941,0.3147393188597234,-0.22410365209376468,-0.0965738271055157,-0.1011352917562835,0.08385056744948202,0.1625978173954201,-0.09160349923483165,0.01796763134510159,0.09350411754723897,0.1045965298691574
$V_a$,0.1251518696192437,-0.16975908197599232,1.0,-0.4680409389836882,0.2505389729867728,0.21250331336019543,-0.19548533441429852,0.5414984013412933,-0.3183047138152754,-0.09380859114844012,-0.35262983642700546,-0.025748638355219653,0.1331077037857308,-0.1423146013990511,0.5720010031994116,-0.3048400201221153,0.22646849987930331,-0.001160949487882709,0.6032584230641432,-0.059060040603521824,-0.0050705171174516735,-0.06695910792242664,0.2626626517513223,-0.17178561322993463,0.35238063992368074,-0.028493402945293518,-0.13464583426664772,-0.25119519646425964,-0.0029677132703927176,-0.03767607513523808,0.12979679370104455,-0.2396616837673457,-0.1917168091563443,0.38518404788233407,0.0020441756214465,-0.01162283998239641,-0.016670212478310242
$R_a$,-0.03063898830913093,-0.014586607206008071,-0.4680409389836882,1.0,-0.02187490700007785,0.07292026779205062,-0.03501486850574627,-0.43771512570627935,0.06205603236437052,0.008016741480445618,0.6088305725266331,0.15687257309855845,-0.21313665179710828,0.06818138421376978,-0.3566715519567934,0.046114529370410384,-0.06004267009367115,-0.08451172347234992,-0.4098205310688316,0.03578598992396828,-0.08935008584812265,0.23925066174157084,0.08418535644758073,0.25749247555381644,0.013519093594897594,0.04213369774222634,0.014844657262510552,0.12212179995178812,0.05213764351312076,0.16585487479717048,0.16604841818853008,0.22213167864233607,0.18424729949156327,-0.3088512446404358,0.09775483857650658,-0.025548683964119454,-0.010495323148782265
$R_b$,0.4207546508944709,0.20594108969720823,0.2505389729867728,-0.02187490700007785,1.0,-0.0899208131756458,0.02585725530410647,-0.0489204741937875,-0.31521842800516314,-0.08887659992978368,-0.017902751323831203,0.7648707478557515,-0.45249812628860425,0.7421004247124812,-0.05978922231694128,-0.5172293983845142,0.13449091001702126,0.2653436502536335,0.04200809016511596,0.044503297133381824,-0.2675164645392914,-0.001884846774800936,0.2384832410920615,-0.11085898649698257,0.7289029303231147,0.16292155993138682,0.2429380238703641,-0.12624066200998277,0.007154959995924858,0.42708533677806837,0.30706511288646593,-0.06227112029312959,0.01100233754034021,0.18524290846199273,-0.005659802291551601,-0.08621555377710892,0.05829283568933846
$D_a$,-0.09652475621295993,0.0016069532103577889,0.21250331336019543,0.07292026779205062,-0.0899208131756458,1.0,-0.12513283390228633,0.2782658681309668,-0.10701197327066861,-0.034436784091567973,-0.5658823528005666,-0.12117400464233631,-0.09809552952262734,-0.14314160745624951,0.6771086410738517,0.06814875073427032,-0.03952309374831391,-0.1037261385646653,-0.11435742208641896,0.08570373536369585,0.0021746187401377086,-0.21316601168260707,-0.010465198693942596,-0.5237104090657574,-0.06657197390595866,-0.21725936144697722,-0.09962904198090548,-0.0516982551250515,-0.18234277986984015,-0.014662437769344998,0.019803301625815176,0.014026416239726136,0.04175406961204271,-0.12335009522054508,0.041020145653059135,0.03562111473541293,0.010110063570699502
$D_b$,-0.006458637276836592,-0.06215305889225286,-0.19548533441429852,-0.03501486850574627,0.02585725530410647,-0.12513283390228633,1.0,-0.050542853502168146,0.4975932907153504,0.02709084025989266,0.03171217482664788,-0.14868325671830157,0.4016592062446123,0.547465590509292,-0.0940878703873317,0.09091223253637978,-0.04825589238042792,-0.19435482094344173,-0.060502785307946366,-0.15235937352511517,0.4393234830352793,0.22227599912044316,-0.3405046115903098,0.10311719074726865,0.059915145602313265,0.17153891726438258,0.4030390914968783,0.04603846454620393,0.17848553368488934,0.31352213125840406,-0.167232263837873,-0.03164378206817591,-0.054086567629420074,-0.007983583955682782,-0.07896091668580445,-0.06477806788627871,-0.023813212357616454
$Ce_a$,-0.13103153965885214,-0.2342323725532409,0.5414984013412933,-0.43771512570627935,-0.0489204741937875,0.2782658681309668,-0.050542853502168146,1.0,-0.07190520349892367,0.019580085825554257,-0.15994697460134955,-0.18168234092234356,0.17540021468544253,-0.22278205473784982,0.4812290766229762,-0.08538963093213925,-0.14236987718600452,-0.11702445995099667,0.33559460673061636,-0.09545675054452184,0.14073088004088632,-0.058363112616379886,0.1362288428079943,-0.14162803124582599,0.12499946443244793,0.050292300855727466,-0.07550864293319069,-0.0907011342138505,0.044459791781884785,-0.10373653734679074,-0.022660512903023778,-0.1784031563811294,-0.19837074162189733,0.20976105973775572,-0.006558182070254055,-0.058358601013158505,-0.07044842226067524
$Ce_b$,-0.08149361716823411,-0.12527743204742742,-0.3183047138152754,0.06205603236437052,-0.31521842800516314,-0.10701197327066861,0.4975932907153504,-0.07190520349892367,1.0,0.07286932358556264,0.11981838929650383,-0.1276503614324739,0.28163355182498906,-0.05891587028043273,-0.12402064159730218,0.08613598991618894,-0.11483089215938962,-0.2057967251358819,-0.12550113013532735,-0.3111490144060206,0.09559075526361765,0.1969558608106214,-0.23999254933484845,0.1737247230888162,-0.18664602876720313,0.08463901272523915,0.2804648362664524,0.2924894354405992,0.13681454239202326,0.1340714335752748,-0.09186826740171619,0.00862859753654251,-0.048759820842642694,-0.12102968434881178,-0.0767542317032308,-0.006279460045933324,-0.042926906324920105
$Ce_c$,-0.1459486755563469,0.2765331104595628,-0.09380859114844012,0.008016741480445618,-0.08887659992978368,-0.034436784091567973,0.02709084025989266,0.019580085825554257,0.07286932358556264,1.0,0.06130658405665597,-0.04593406890435302,-0.0022352167699471047,-0.05121976034684753,-0.06295109627358193,0.05216676882846557,-0.08182089755172908,-0.02340524216863581,-0.04939418552043983,-0.04087614803803362,0.03416350183962839,0.02321808302687003,-0.43565295236384977,-0.3124645565023401,-0.2703532587905145,-0.10353532158759418,-0.21840071330387248,0.12791686196764254,-0.06966707635772791,-0.2358539757492919,-0.0746764401347423,0.034115721385968474,0.17108121444801463,-0.055621858593745736,0.07092866740083129,-0.012524957048795375,0.13083651343084213
