,Material,Chemical_formula,Band_gap_HSE,Direct_or_indirect_HSE,Band_gap_GGA,Space_group_cif,Free_energy
0,Ge1Se8V4,Ge(V4Se8),0.0,Indirect,0.0,44.0,-5.8971755257692
1,Cu2Ge1Se3,Cu2(GeSe3),0.357144,Indirect,0.057361,9.0,-3.5749097316667
2,Cl4Co1Na2,Na2(CoCl4),4.477341,Direct,2.780673,62.0,-3.5675379625
3,Cr1Na1Se2,NaCrSe2,1.138949,Indirect,0.407413,166.0,-4.7522459725
4,Al2Fe3Si4,AlFe1.50Si2,0.0,Indirect,0.0,63.0,-6.4207033055556
5,B1La1Ni4,LaNi4B,0.0,Indirect,0.0,191.0,-6.000871835
6,Al1Cu1S2,CuAlS2,3.038984,Direct,2.16183,122.0,-4.44867706125
7,Cs1In1Se2,CsInSe2,2.522587,Indirect,1.610933,15.0,-3.5605545328125
8,Co1Cs1O2,CsCoO2,2.233359,Indirect,0.537004,64.0,-5.13850599125
9,As1Fe1Se1,FeAsSe,0.0,Indirect,0.0,14.0,-4.7760253816667
10,Au1Cl3Cs1,CsAuCl3,0.0,Indirect,0.0,215.0,-2.905877842
11,Au1Bi1K2,K2AuBi,1.328635,Indirect,0.834525,63.0,-2.7209128
12,Cl5Fe1Tl3,Tl3FeCl5,3.507274,Indirect,2.34671,140.0,-3.4778457866667
13,Cu2S4W1,Cu2(WS4),2.443688,Indirect,1.646567,121.0,-5.3573322942857
14,Cr2Ni1S4,Cr2(NiS4),1.865763,Indirect,0.964251,12.0,-5.3993669942857
15,Cs1Mo1O6P1,Cs(MoO2(PO4)),3.885842,Indirect,2.445802,70.0,-7.3038308402778
16,Co8Ru1S8,Co8RuS8,0.0,Indirect,0.0,225.0,-4.9220603991176
17,As1K1Zn1,KZnAs,1.165429,Direct,0.525212,194.0,-2.49331766
18,Cr1Na1S2,Na(CrS2),2.032201,Indirect,1.126976,166.0,-5.18188594
19,Bi1Cs3Se3,Cs3(BiSe3),2.774554,Indirect,2.025708,198.0,-3.3902791632143
20,Ce1Cl6Cs2,Cs2CeCl6,3.162277,Indirect,2.088453,164.0,-3.9631774633333
21,Cu1Ga1S2,CuGaS2,1.895106,Direct,1.077408,122.0,-4.000376315
22,Cd2I1P3,Cd2P3I,1.788951,Indirect,1.05979,9.0,-3.4364389066667
23,C1Cu1O3,CuCO3,3.230794,Indirect,1.040133,8.0,-6.255224031
24,Cl4Fe1Na1,NaFeCl4,3.567156,Indirect,2.296233,19.0,-3.6405880641667
25,Cd4La6Pd13,La6Pd13Cd4,0.0,Indirect,0.0,229.0,-5.1177918421739
26,C2Fe1H6N2O4,Fe(C2O4)(NH3)2,2.762702,Direct,2.232036,15.0,-6.2289971253333
27,As1Se3Tl3,Tl3(AsSe3),1.231939,Direct,0.680086,160.0,-3.4427300814286
28,Ca1O3Sn1,CaSnO3,3.153605,Direct,1.53404,225.0,-6.205187671
29,Ca2I1P1,Ca2PI,2.427353,Indirect,1.65596,166.0,-4.1028136775
30,Al1As2Na3,Na3(AlAs2),1.593173,Indirect,0.909301,72.0,-3.3576630516667
31,Cr1F5Mn1,MnCrF5,3.111449,Indirect,2.059232,15.0,-6.0584380264286
32,As2B1Cs3,Cs3(BAs2),2.19036,Indirect,1.534607,15.0,-3.4608834933333
33,Cr1I3Rb1,RbCrI3,2.196047,Indirect,1.345126,5.0,-3.4983166485
34,Cs2Ge1Se3,Cs4(Ge2Se6),2.538338,Indirect,1.603524,12.0,-3.6943172583333
35,Br3Cs1Ni1,CsNiBr3,3.471766,Indirect,2.526312,194.0,-2.805530626
36,Br2Nb1S2,NbS2Br2,2.416449,Indirect,1.432459,12.0,-5.167630042
37,B4Co4La1,LaCo4B4,0.0,Indirect,0.0,86.0,-7.0990060011111
38,Cd2Cl1P3,Cd2P3Cl,1.87903,Indirect,1.128722,15.0,-3.6205409991667
39,Cu1S2Tl1,CuTlS2,0.038698,Direct,0.0,122.0,-3.7519522125
40,Cl5Cs3Mn1,Cs3(MnCl5),5.476952,Direct,4.2026,140.0,-3.9049731888889
41,Al4C6Zr3,Zr3Al4C6,0.0,Indirect,0.0,160.0,-7.8268847946154
42,D4Mg1Sr1,SrMgD4,3.595068,Indirect,2.626607,36.0,-3.1564696366667
43,Al2Se4Zn1,ZnAl2Se4,3.183437,Direct,2.280468,82.0,-3.9791842014286
44,Cd3Rb2S4,Rb2(Cd3S4),2.754656,Direct,1.76803,62.0,-3.1289575258333
45,Cu1Ga1Se2,CuGaSe2,1.076808,Direct,0.372918,122.0,-3.60073770125
46,Fe3Na7O8,Na14(Fe6O16),3.713291,Indirect,2.20513,2.0,-5.2635443355556
47,Cu3S3Sb1,Cu3(SbS3),1.908431,Indirect,1.205818,19.0,-3.6292541660714
48,Au1Li2Sb1,AuLi2Sb,0.0,Indirect,0.0,216.0,-3.335462285
49,As3Cs6In1,Cs6(InAs3),1.122102,Indirect,0.534964,11.0,-2.5532636835
50,Au1O4P1,Au(PO4),3.315397,Direct,1.764851,15.0,-6.05260624
51,Cl6Pt1Tl2,Tl2(PtCl6),2.842368,Indirect,1.68645,225.0,-3.1942496455556
52,Cs1I6Ta1,Cs(TaI6),1.715864,Indirect,1.033858,15.0,-3.471643983125
53,B2Ni7Y3,Ni7Y3B2,0.0,Indirect,0.0,194.0,-6.40854302125
54,Co7Ge6Hf4,Hf4Co7Ge6,0.0,Indirect,0.0,229.0,-6.2436404852941
55,Br4Cd1Cs2,Cs2(CdBr4),4.624709,Direct,3.407658,14.0,-2.7367294653571
56,Cs2Hg6S7,Cs2Hg6S7,1.413657,Direct,0.631299,102.0,-2.505243745
57,Cu5Na1S3,NaCu5S3,0.0,Indirect,0.0,182.0,-3.9591199911111
58,Co1O6V2,Co(V2O6),2.774215,Indirect,1.964415,12.0,-7.0700677844444
59,As1Fe1Te1,FeAsTe,1.556879,Direct,0.640679,14.0,-5.6067877816667
60,Co1Li1O2,LiCoO2,2.589467,Indirect,0.896802,166.0,-5.562683635
61,Ba2Fe1O6W1,Ba2(FeWO6),1.816088,Direct,1.272555,87.0,-7.696139596
62,Cs5P3Si1,Cs5(SiP3),1.464534,Indirect,0.833635,62.0,-3.2331309016667
63,B2La3Ni13,La3Ni13B2,0.0,Indirect,0.0,191.0,-5.8945798016667
64,Cs2N12Pd1,Cs2(Pd(N3)4),3.084892,Direct,1.806011,14.0,-6.9687853496667
65,Cs4O4Pb1,Cs4(PbO4),3.015829,Direct,1.656758,14.0,-4.1894984072222
66,Bi1O3Sc1,BiScO3,3.831214,Indirect,2.694142,5.0,-7.3608047775
67,B3Cs1H12Sr1,CsSr(BH4)3,7.223882,Indirect,5.878289,18.0,-4.1027398461765
68,Co12Lu2P7,Lu2Co12P7,0.0,Indirect,0.0,174.0,-7.0498809961905
69,Cu2Ge1S3,Cu2GeS3,0.436903,Indirect,0.0,44.0,-4.374775825
70,Co3O8P2,Co3(PO4)2,4.606033,Direct,2.859138,14.0,-6.8319334588462
71,Cu2Ge1Se3,Cu2(GeSe3),0.0,Indirect,0.0,44.0,-3.9946696083333
72,F2H8Mo1N2O5,(NH4)2(MoF2O(O2)2),3.669351,Indirect,2.242968,2.0,-5.4164319155556
73,Fe2O7Sr3,Sr3(Fe2O7),0.0,Indirect,0.0,139.0,-6.3918617516667
74,C1S3Tl2,Tl2(CS3),2.532436,Indirect,1.691682,15.0,-4.4511742058333
75,Cs1Se3Te1,Cs2Te2Se6,1.074982,Indirect,0.528577,14.0,-3.3791707155
76,Cs1I4Tl1,CsTlI4,1.774051,Indirect,0.979138,14.0,-2.2624010858333
77,Cu1Pt2S4,Cu2Pt4S8,0.891834,Indirect,0.195502,13.0,-4.78750533
78,As2Co1O6,Co(AsO3)2,3.484346,Indirect,1.987183,162.0,-6.0704717033333
79,Cr2Se4Zn1,ZnCr2Se4,1.007465,Indirect,0.279942,227.0,-4.7828425442857
80,As6Cs7In3,Cs7In3As6,0.743916,Indirect,0.230252,2.0,-2.94489063
81,Au1Li3S2,Li3AuS2,2.916922,Direct,2.059993,72.0,-3.909740755
82,C1Co1Lu1,LuCoC,0.0,Indirect,0.0,131.0,-7.2619894816667
83,Cs3Ni1O2,Cs3NiO2,2.406806,Direct,1.39918,136.0,-3.5090948258333
84,Bi2Cs2Pd1,Cs2PdBi2,0.79377,Indirect,0.446626,63.0,-3.333654922
85,C6Co1H18Mn1N12,(Co(NH3)6)(Mn(CN)6),1.834274,Direct,2.136887,148.0,-6.0894515078947
86,B1Ir1Li1,LiIrB,0.0,Indirect,0.0,70.0,-6.3282328641667
87,Cu4S4Sn1,Cu4(SnS4),0.681497,Direct,0.01546,62.0,-4.1660920325
88,Mn2Se4Sn1,Mn2SnSe4,1.320835,Direct,0.531561,62.0,-5.1469369057143
89,Co1Ge1Te1,CoGeTe,0.79551,Indirect,0.184687,61.0,-4.1315627666667
90,Au1Cs1Te1,Cs(AuTe),1.903897,Direct,1.219491,51.0,-3.13651826
91,Au1I4Li1,Li(AuI4),1.246311,Indirect,0.665501,14.0,-2.3123300208333
92,C2Cs1K1,CsKC2,4.771103,Indirect,3.476221,62.0,-4.80419868625
93,Bi2Cs2Se5Zn1,Cs2Bi2ZnSe5,2.034061,Indirect,1.460914,62.0,-3.53843507525
94,Cl5Cs3Ni1,Cs3NiCl5,3.66308,Indirect,2.564413,140.0,-3.2172851027778
95,Cs6Ga1Sb3,Cs6(GaSb3),0.982782,Indirect,0.452484,11.0,-2.470688249
96,Co1O9Se3Sr2,Sr2Co(SeO3)3,4.362489,Indirect,2.800491,2.0,-5.815871222
