,formula,$y$
0,NaMn2O4,False
1,Cd(RhO2)2,False
2,CaIn2O4,True
3,Si(NiO2)2,True
4,Mg2FeO4,False
5,Gd2CdO4,True
6,LiTi2O4,False
7,CaSm2O4,False
8,Li(CoO2)2,False
9,SrLa2O4,True
10,Ca(SnO2)2,False
11,Na2MoO4,False
12,LiZr2O4,False
13,Mg(GaO2)2,True
14,Cr2NiO4,False
15,Y2PdO4,False
16,Co2GeO4,False
17,Mg2GeO4,True
18,Pr2PdO4,False
19,CaTi2O4,False
20,Mn2ZnO4,False
21,Ag2MoO4,True
22,Zn(MoO2)2,False
23,Be(CoO2)2,False
24,Co2NiO4,False
25,LiMn2O4,False
26,CaTb2O4,False
27,Co(RhO2)2,False
28,Ca(CuO2)2,False
29,Li(WO2)2,False
30,Mg(CoO2)2,False
31,Ca(MoO2)2,True
32,Al2CdO4,False
33,Cd(FeO2)2,False
34,MgAl2O4,False
35,Mg(SnO2)2,False
36,CdIn2O4,False
37,Co2SiO4,False
38,Na2WO4,True
39,Mg(CuO2)2,False
40,DyMn2O4,False
41,Cr2HgO4,False
42,Ca(CoO2)2,False
43,Mg2CoO4,False
44,Fe2GeO4,False
45,MnCr2O4,True
46,Y(FeO2)2,False
47,YTi2O4,False
48,NaV2O4,True
49,Al2ZnO4,False
50,Cr2CdO4,False
51,Cd(CoO2)2,True
52,Fe2HgO4,False
53,AlV2O4,False
54,NaCr2O4,False
55,Cr2CoO4,True
56,Al2CoO4,False
57,AlCr2O4,False
58,Ga2HgO4,False
59,Mn2CuO4,False
60,Mn(FeO2)2,False
61,SrNd2O4,False
62,Mg2SiO4,True
63,Mg(MoO2)2,False
64,Mg(SbO2)2,False
65,Nd2PdO4,False
66,Al(FeO2)2,False
67,Mg(BiO2)2,False
68,V2FeO4,False
69,Cr2FeO4,False
70,Zn(FeO2)2,True
71,Mg(NiO2)2,False
72,Ti2ZnO4,False
73,Ca(FeO2)2,True
74,Co(NiO2)2,False
75,Mg(FeO2)2,True
76,SrSm2O4,True
77,CaY2O4,False
78,BaLa2O4,False
79,V2CdO4,False
80,Na(FeO2)2,False
81,EuY2O4,False
82,Mn2AlO4,False
83,Cr2CuO4,False
84,Al2CuO4,False
85,V2SiO4,False
86,Zn(CuO2)2,False
87,Al(CoO2)2,False
88,Zn2SnO4,True
89,Fe2SiO4,False
90,MnV2O4,False
91,Ga2CoO4,False
92,ZnCr2O4,False
93,Ga2NiO4,False
94,Ti2MnO4,False
95,Fe2NiO4,False
96,SrLu2O4,False
97,Zn(NiO2)2,False
98,Li(FeO2)2,False
99,VCr2O4,False
100,Cd(GaO2)2,False
101,Zn2SiO4,True
102,NaTi2O4,False
103,Zn(GaO2)2,False
104,Ca(SbO2)2,False
105,Ti2AlO4,False
106,V2ZnO4,False
107,MgTi2O4,False
108,CaTm2O4,False
109,Cu(NiO2)2,False
110,Ca(WO2)2,True
111,Y(NiO2)2,False
112,MnIn2O4,False
113,CaV2O4,True
114,CaCr2O4,False
115,Y2HgO4,True
116,Ca(BiO2)2,False
117,Zn2PdO4,False
118,Zn(CoO2)2,False
119,Zn(BiO2)2,False
120,Mn2NiO4,False
121,Cu(RhO2)2,False
122,Mn(CoO2)2,False
123,MgIn2O4,True
124,Cd2SiO4,True
125,MgV2O4,False
126,Zn(RhO2)2,False
127,Mg2VO4,False
128,Al(CuO2)2,False
129,SrSc2O4,False
130,Al(SnO2)2,False
131,Li(MoO2)2,False
132,Zn(SbO2)2,False
133,V2CoO4,False
134,CaGd2O4,True
135,Li(CuO2)2,False
136,Zn(IrO2)2,False
137,La2EuO4,True
138,Li(NiO2)2,False
139,Mg2SnO4,False
140,Mg(AgO2)2,False
141,Al2FeO4,False
142,Ca(AgO2)2,False
143,Mg(WO2)2,True
144,Ca(NiO2)2,False
145,Al(NiO2)2,False
146,In2HgO4,False
147,Fe2CuO4,False
148,Zn(SnO2)2,False
149,Al2NiO4,False
150,Zn(WO2)2,True
151,Na(SnO2)2,False
152,Y(CuO2)2,False
153,Co2CuO4,False
154,Fe2CoO4,True
155,Zn(AgO2)2,False
156,Co2HgO4,False
157,MgMn2O4,False
158,Ga2CuO4,False
159,ZnIn2O4,False
160,Fe(NiO2)2,False
161,Al2HgO4,True
162,Ni(RhO2)2,False
163,Mn(RhO2)2,False
164,Ni2GeO4,True
165,MgCr2O4,True
166,Mg(RhO2)2,False
167,LiV2O4,False
168,MnAl2O4,True
169,Cd2SnO4,False
170,Mg(MnS2)2,False
171,Li(MnS2)2,False
172,Pr2MgS4,True
173,Zr2CuS4,False
174,Zn(CrS2)2,False
175,Sc2ZnS4,True
176,Ca(CrS2)2,False
177,Dy2CdS4,True
178,Fe(NiS2)2,False
179,Cr(GaS2)2,False
180,Dy2MgS4,True
181,Ce2MgS4,False
182,Mg(VS2)2,False
183,In2CuS4,False
184,Yb2FeS4,False
185,In2HgS4,False
186,Co2CuS4,False
187,Mg(WS2)2,False
188,Yb2MnS4,False
189,Mg(InS2)2,False
190,Tm2MgS4,True
191,Ca(MnS2)2,False
192,Cr2FeS4,False
193,Mn2ZnS4,False
194,Al(CoS2)2,False
195,Yb2CdS4,False
196,Sc2CdS4,True
197,Cr(InS2)2,False
198,Cr2AgS4,False
199,In2CoS4,False
200,Mg(CrS2)2,False
201,Mg(GaS2)2,False
202,Ti2CuS4,False
203,Tb2MgS4,True
204,Er2MgS4,True
205,Ca(TiS2)2,False
206,Zn(GaS2)2,False
207,Mg(CoS2)2,False
208,Mg(FeS2)2,False
209,Li(TiS2)2,False
210,In2FeS4,False
211,Mg(MoS2)2,False
212,Ni(RhS2)2,False
213,Ca(VS2)2,False
214,Y2MgS4,True
215,Al2HgS4,False
216,Lu2FeS4,False
217,Lu2MnS4,False
218,Zn(FeS2)2,False
219,In2NiS4,False
220,Ho2MgS4,True
221,Cr2CuS4,False
222,Zn(CoS2)2,False
223,Mn(CrS2)2,False
224,Cs(CrS2)2,False
225,Li(NiS2)2,False
226,Ho2CdS4,True
227,Ti2ZnS4,False
228,Mn(AlS2)2,True
229,Mn(InS2)2,False
230,Mg(NiS2)2,False
231,Tm2CdS4,True
232,Lu2CdS4,True
233,Lu2MgS4,True
234,Mg(TiS2)2,False
235,Li(FeS2)2,False
236,Mg(AlS2)2,False
237,Co(NiS2)2,False
238,Co(RhS2)2,True
239,Fe(RhS2)2,False
240,Ca(FeS2)2,False
241,V2CuS4,False
242,Ca(CoS2)2,False
243,Zn(NiS2)2,False
244,Mg(ScS2)2,True
245,Nd2MgS4,True
246,Al2ZnS4,False
247,K(CrS2)2,False
248,V2ZnS4,False
249,Co2NiS4,False
250,Sm2MgS4,True
251,Sc2MnS4,False
252,Yb2MgS4,False
253,Pm2MgS4,True
254,Gd2MgS4,False
255,Eu2MgS4,False
256,Cu(RhS2)2,False
257,Cr2CdS4,False
258,Cr2HgS4,False
259,Sc2FeS4,False
260,Al2CdS4,False
261,Er2CdS4,True
262,Zn(InS2)2,False
263,Y2ZnS4,True
264,Fe2SiS4,False
265,Cr2CoS4,False
266,Na(CrS2)2,False
267,Cu(IrS2)2,False
268,Rb(CrS2)2,False
269,Li(CrS2)2,False
270,Y2CdS4,True
271,Cd(InS2)2,False
272,La2MgS4,False
273,Cr2GaS4,False
274,Li(CoS2)2,False
275,Ca2SnS4,True
276,Y2CdSe4,True
277,Cr2CuSe4,False
278,Dy2MgSe4,True
279,Cu(RhSe2)2,False
280,Mg(ScSe2)2,True
281,Nd2MgSe4,True
282,Cd(InSe2)2,False
283,Ho2MgSe4,True
284,Sc2ZnSe4,True
285,Pr2MgSe4,True
286,Zn(InSe2)2,False
287,Tb2MgSe4,True
288,La2MgSe4,True
289,Zn(CrSe2)2,False
290,Sc2CdSe4,True
291,Al2HgSe4,False
292,Lu2CdSe4,True
293,Sc2MnSe4,False
294,Yb2ZnSe4,False
295,Er2MgSe4,True
296,Dy2CdSe4,True
297,Pm2MgSe4,True
298,Cr2HgSe4,False
299,In2CoSe4,False
300,Mn2ZnSe4,False
301,Lu2MgSe4,True
302,Eu2MgSe4,False
303,Al2ZnSe4,False
304,Y2MgSe4,True
305,Lu2MnSe4,True
306,Tm2CdSe4,True
307,Mg(InSe2)2,True
308,Yb2CdSe4,False
309,Y2ZnSe4,True
310,Cr2CdSe4,False
311,Sm2MgSe4,True
312,Tm2MgSe4,True
313,Ho2CdSe4,True
314,Al2CdSe4,False
315,Mg(CrSe2)2,False
316,Yb2MnSe4,False
317,Yb2MgSe4,False
318,Cr2AgTe4,False
319,Mn2ZnTe4,False
320,Dy2CdTe4,False
321,Cr2CuTe4,False
322,Li2ZnCl4,False
323,LiAg2F4,False
324,Li2MnF4,True
