,Unnamed: 0,formula,$y$
0,0,NaMn2O4,False
1,1,Cd(RhO2)2,False
2,2,CaIn2O4,True
3,3,Si(NiO2)2,True
4,4,Mg2FeO4,False
5,5,Gd2CdO4,True
6,6,LiTi2O4,False
7,7,CaSm2O4,False
8,8,Li(CoO2)2,False
9,9,SrLa2O4,True
10,10,Ca(SnO2)2,False
11,11,Na2MoO4,False
12,12,LiZr2O4,False
13,13,Mg(GaO2)2,True
14,14,Cr2NiO4,False
15,15,Y2PdO4,False
16,16,Co2GeO4,False
17,17,Mg2GeO4,True
18,18,Pr2PdO4,False
19,19,CaTi2O4,False
20,20,Mn2ZnO4,False
21,21,Ag2MoO4,True
22,22,Zn(MoO2)2,False
23,23,Be(CoO2)2,False
24,24,Co2NiO4,False
25,25,LiMn2O4,False
26,26,CaTb2O4,False
27,27,Co(RhO2)2,False
28,28,Ca(CuO2)2,False
29,29,Li(WO2)2,False
30,30,Mg(CoO2)2,False
31,31,Ca(MoO2)2,True
32,32,Al2CdO4,False
33,33,Cd(FeO2)2,False
34,34,MgAl2O4,False
35,35,Mg(SnO2)2,False
36,36,CdIn2O4,False
37,37,Co2SiO4,False
38,38,Na2WO4,True
39,39,Mg(CuO2)2,False
40,40,DyMn2O4,False
41,41,Cr2HgO4,False
42,42,Ca(CoO2)2,False
43,43,Mg2CoO4,False
44,44,Fe2GeO4,False
45,45,MnCr2O4,True
46,46,Y(FeO2)2,False
47,47,YTi2O4,False
48,48,NaV2O4,True
49,49,Al2ZnO4,False
50,50,Cr2CdO4,False
51,51,Cd(CoO2)2,True
52,52,Fe2HgO4,False
53,53,AlV2O4,False
54,54,NaCr2O4,False
55,55,Cr2CoO4,True
56,56,Al2CoO4,False
57,57,AlCr2O4,False
58,58,Ga2HgO4,False
59,59,Mn2CuO4,False
60,60,Mn(FeO2)2,False
61,61,SrNd2O4,False
62,62,Mg2SiO4,True
63,63,Mg(MoO2)2,False
64,64,Mg(SbO2)2,False
65,65,Nd2PdO4,False
66,66,Al(FeO2)2,False
67,67,Mg(BiO2)2,False
68,68,V2FeO4,False
69,69,Cr2FeO4,False
70,70,Zn(FeO2)2,True
71,71,Mg(NiO2)2,False
72,72,Ti2ZnO4,False
