,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,formula,$y$
0,0.0,0.0,0.0,0.0,0.0,175.0,Fe(NiS2)2,0
1,1.0,1.0,1.0,1.0,1.0,30.0,Mg(CoO2)2,0
2,2.0,2.0,2.0,2.0,2.0,146.0,Zn(SnO2)2,0
3,3.0,3.0,3.0,3.0,3.0,219.0,Zn(CoS2)2,0
4,4.0,4.0,4.0,4.0,4.0,152.0,Zn(AgO2)2,0
5,5.0,5.0,5.0,5.0,5.0,203.0,Zn(GaS2)2,0
6,6.0,6.0,6.0,6.0,6.0,98.0,Li(FeO2)2,0
7,7.0,7.0,7.0,7.0,7.0,292.0,Er2MgSe4,1
8,8.0,8.0,8.0,8.0,8.0,302.0,Lu2MnSe4,1
9,9.0,9.0,9.0,9.0,9.0,227.0,Mg(NiS2)2,0
10,10.0,10.0,10.0,10.0,10.0,38.0,Na2WO4,1
11,11.0,11.0,11.0,11.0,11.0,225.0,Mn(AlS2)2,1
12,12.0,12.0,12.0,12.0,12.0,133.0,CaGd2O4,1
13,13.0,13.0,13.0,13.0,13.0,44.0,Fe2GeO4,0
14,14.0,14.0,14.0,14.0,14.0,78.0,BaLa2O4,0
15,15.0,15.0,15.0,15.0,15.0,45.0,MnCr2O4,1
16,16.0,16.0,16.0,16.0,16.0,249.0,Yb2MgS4,0
17,17.0,17.0,17.0,17.0,17.0,79.0,V2CdO4,0
18,18.0,18.0,18.0,18.0,18.0,83.0,Cr2CuO4,0
19,19.0,19.0,19.0,19.0,19.0,151.0,Fe2CoO4,1
20,20.0,20.0,20.0,20.0,20.0,35.0,Mg(SnO2)2,0
21,21.0,21.0,21.0,21.0,21.0,29.0,Li(WO2)2,0
22,22.0,22.0,22.0,22.0,22.0,156.0,ZnIn2O4,0
23,23.0,23.0,23.0,23.0,23.0,289.0,Lu2CdSe4,1
24,24.0,24.0,24.0,24.0,24.0,170.0,Zr2CuS4,0
25,25.0,25.0,25.0,25.0,25.0,142.0,Ca(NiO2)2,0
26,26.0,26.0,26.0,26.0,26.0,39.0,Mg(CuO2)2,0
27,27.0,27.0,27.0,27.0,27.0,49.0,Al2ZnO4,0
28,28.0,28.0,28.0,28.0,28.0,178.0,Ce2MgS4,0
29,29.0,29.0,29.0,29.0,29.0,71.0,Mg(NiO2)2,0
30,30.0,30.0,30.0,30.0,30.0,23.0,Be(CoO2)2,0
31,31.0,31.0,31.0,31.0,31.0,296.0,In2CoSe4,0
32,32.0,32.0,32.0,32.0,32.0,62.0,Mg2SiO4,1
33,33.0,33.0,33.0,33.0,33.0,274.0,Cr2CuSe4,0
34,34.0,34.0,34.0,34.0,34.0,287.0,Sc2CdSe4,1
35,35.0,35.0,35.0,35.0,35.0,226.0,Mn(InS2)2,0
36,36.0,36.0,36.0,36.0,36.0,257.0,Al2CdS4,0
37,37.0,37.0,37.0,37.0,37.0,76.0,SrSm2O4,1
38,38.0,38.0,38.0,38.0,38.0,105.0,Ti2AlO4,0
39,39.0,39.0,39.0,39.0,39.0,252.0,Eu2MgS4,0
40,40.0,40.0,40.0,40.0,40.0,298.0,Lu2MgSe4,1
41,41.0,41.0,41.0,41.0,41.0,113.0,CaV2O4,1
42,42.0,42.0,42.0,42.0,42.0,9.0,SrLa2O4,1
43,43.0,43.0,43.0,43.0,43.0,241.0,Mg(ScS2)2,1
44,44.0,44.0,44.0,44.0,44.0,258.0,Er2CdS4,1
45,45.0,45.0,45.0,45.0,45.0,120.0,Mn2NiO4,0
46,46.0,46.0,46.0,46.0,46.0,310.0,Ho2CdSe4,1
47,47.0,47.0,47.0,47.0,47.0,262.0,Cr2CoS4,0
48,48.0,48.0,48.0,48.0,48.0,179.0,Mg(VS2)2,0
49,49.0,49.0,49.0,49.0,49.0,282.0,Pr2MgSe4,1
50,50.0,50.0,50.0,50.0,50.0,41.0,Cr2HgO4,0
51,51.0,51.0,51.0,51.0,51.0,228.0,Tm2CdS4,1
52,52.0,52.0,52.0,52.0,52.0,253.0,Cu(RhS2)2,0
53,53.0,53.0,53.0,53.0,53.0,18.0,Pr2PdO4,0
54,54.0,54.0,54.0,54.0,54.0,119.0,Zn(BiO2)2,0
55,55.0,55.0,55.0,55.0,55.0,251.0,Gd2MgS4,0
56,56.0,56.0,56.0,56.0,56.0,55.0,Cr2CoO4,1
57,57.0,57.0,57.0,57.0,57.0,303.0,Tm2CdSe4,1
58,58.0,58.0,58.0,58.0,58.0,184.0,Mg(WS2)2,0
59,59.0,59.0,59.0,59.0,59.0,111.0,Y(NiO2)2,0
60,60.0,60.0,60.0,60.0,60.0,65.0,Nd2PdO4,0
61,61.0,61.0,61.0,61.0,61.0,130.0,Li(MoO2)2,0
62,62.0,62.0,62.0,62.0,62.0,5.0,Gd2CdO4,1
63,63.0,63.0,63.0,63.0,63.0,7.0,CaSm2O4,0
64,64.0,64.0,64.0,64.0,64.0,22.0,Zn(MoO2)2,0
65,65.0,65.0,65.0,65.0,65.0,169.0,Pr2MgS4,1
66,66.0,66.0,66.0,66.0,66.0,58.0,Ga2HgO4,0
67,67.0,67.0,67.0,67.0,67.0,313.0,Yb2MnSe4,0
68,68.0,68.0,68.0,68.0,68.0,304.0,Mg(InSe2)2,1
69,69.0,69.0,69.0,69.0,69.0,191.0,Al(CoS2)2,0
70,70.0,70.0,70.0,70.0,70.0,8.0,Li(CoO2)2,0
71,71.0,71.0,71.0,71.0,71.0,100.0,Cd(GaO2)2,0
72,72.0,72.0,72.0,72.0,72.0,171.0,Zn(CrS2)2,0
73,73.0,73.0,73.0,73.0,73.0,40.0,DyMn2O4,0
74,74.0,74.0,74.0,74.0,74.0,104.0,Ca(SbO2)2,0
75,75.0,75.0,75.0,75.0,75.0,220.0,Mn(CrS2)2,0
76,76.0,76.0,76.0,76.0,76.0,222.0,Li(NiS2)2,0
77,77.0,77.0,77.0,77.0,77.0,54.0,NaCr2O4,0
78,78.0,78.0,78.0,78.0,78.0,268.0,Cd(InS2)2,0
79,79.0,79.0,79.0,79.0,79.0,149.0,Y(CuO2)2,0
80,80.0,80.0,80.0,80.0,80.0,135.0,La2EuO4,1
81,81.0,81.0,81.0,81.0,81.0,15.0,Y2PdO4,0
82,82.0,82.0,82.0,82.0,82.0,94.0,Ti2MnO4,0
83,83.0,83.0,83.0,83.0,83.0,4.0,Mg2FeO4,0
84,84.0,84.0,84.0,84.0,84.0,290.0,Sc2MnSe4,0
85,85.0,85.0,85.0,85.0,85.0,309.0,Tm2MgSe4,1
86,86.0,86.0,86.0,86.0,86.0,277.0,Mg(ScSe2)2,1
87,87.0,87.0,87.0,87.0,87.0,166.0,Cd2SnO4,0
88,88.0,88.0,88.0,88.0,88.0,147.0,Al2NiO4,0
89,89.0,89.0,89.0,89.0,89.0,123.0,MgIn2O4,1
90,90.0,90.0,90.0,90.0,90.0,176.0,Cr(GaS2)2,0
91,91.0,91.0,91.0,91.0,91.0,124.0,Cd2SiO4,1
92,92.0,92.0,92.0,92.0,92.0,244.0,K(CrS2)2,0
93,93.0,93.0,93.0,93.0,93.0,87.0,Al(CoO2)2,0
94,94.0,94.0,94.0,94.0,94.0,69.0,Cr2FeO4,0
95,95.0,95.0,95.0,95.0,95.0,270.0,Cr2GaS4,0
96,96.0,96.0,96.0,96.0,96.0,118.0,Zn(CoO2)2,0
97,97.0,97.0,97.0,97.0,97.0,214.0,Lu2MnS4,0
98,98.0,98.0,98.0,98.0,98.0,34.0,MgAl2O4,0
99,99.0,99.0,99.0,99.0,99.0,265.0,Rb(CrS2)2,0
100,100.0,100.0,100.0,100.0,100.0,217.0,Ho2MgS4,1
101,101.0,101.0,101.0,101.0,101.0,159.0,Ni(RhO2)2,0
102,102.0,102.0,102.0,102.0,102.0,153.0,Co2HgO4,0
103,103.0,103.0,103.0,103.0,103.0,59.0,Mn2CuO4,0
104,104.0,104.0,104.0,104.0,104.0,89.0,Fe2SiO4,0
105,105.0,105.0,105.0,105.0,105.0,273.0,Y2CdSe4,1
106,106.0,106.0,106.0,106.0,106.0,297.0,Mn2ZnSe4,0
