,pred_ml,pred_f,formula
0,0,0,AlAg2Se4
1,0,1,AlLa2S4
2,0,1,AlLa2Se4
3,0,1,AlLu2S4
4,1,1,AlLu2Se4
5,0,0,BaAg2O4
6,0,0,BaAg2S4
7,0,0,BaAg2Se4
8,0,0,BaAl2O4
9,0,0,BaAl2S4
10,0,0,BaAl2Se4
11,0,0,BaBi2O4
12,0,0,BaBi2S4
13,0,0,BaBi2Se4
14,0,0,BaCr2O4
15,0,0,BaCr2S4
16,0,0,BaCu2S4
17,0,0,BaCu2Se4
18,0,0,BaFe2O4
19,0,0,BaGa2O4
20,0,0,BaGa2S4
21,0,0,BaGa2Se4
22,0,0,BaIn2O4
23,0,0,BaIn2S4
24,0,0,BaIn2Se4
25,0,1,BaLa2S4
26,0,1,BaLa2Se4
27,0,1,BaLu2O4
28,1,1,BaLu2S4
29,1,1,BaLu2Se4
30,0,0,BaMn2O4
31,0,0,BaMo2Se4
32,0,1,BaNd2O4
33,0,1,BaNd2S4
34,1,1,BaNd2Se4
35,0,0,BaPd2O4
36,0,0,BaPd2S4
37,0,0,BaPd2Se4
38,0,0,BaW2Se4
39,0,0,BeAg2S4
40,0,0,BeAg2Se4
41,0,0,BeAl2O4
42,0,0,BeAl2S4
43,0,0,BeAl2Se4
44,0,0,BeBi2Se4
45,0,0,BeCu2Se4
46,0,0,BeGa2O4
47,0,0,BeGa2S4
48,0,0,BeGa2Se4
49,0,0,BeIn2O4
50,0,0,BeIn2S4
51,0,0,BeIn2Se4
52,1,1,BeLa2S4
53,1,1,BeLa2Se4
54,1,1,BeLu2S4
55,1,1,BeLu2Se4
56,0,0,BeMo2Se4
57,0,1,BeNd2O4
58,1,1,BeNd2Se4
59,0,0,BePd2S4
60,0,0,BePd2Se4
61,0,0,BeW2Se4
62,0,0,CaAg2Se4
63,0,0,CaAl2S4
64,0,0,CaAl2Se4
65,0,0,CaBi2Se4
66,0,0,CaCr2Se4
67,1,0,CaGa2O4
68,0,0,CaGa2S4
69,0,0,CaGa2Se4
70,0,0,CaIn2S4
71,0,0,CaIn2Se4
72,0,1,CaLa2S4
73,1,1,CaLa2Se4
74,1,1,CaLu2S4
75,1,1,CaLu2Se4
76,0,0,CaMo2Se4
77,1,1,CaNd2S4
78,1,1,CaNd2Se4
79,0,0,CaPd2S4
80,0,0,CaPd2Se4
81,0,0,CoMn2O4
82,0,0,CsMn2O4
83,0,0,CsPd2S4
84,0,0,CsW2Se4
85,0,0,CuAl2Se4
86,0,0,CuGa2Se4
87,0,0,FeIn2O4
88,0,1,FeRb2O4
89,1,1,GaLa2O4
90,1,1,GaLu2S4
91,1,1,GaLu2Se4
92,1,1,GaNd2O4
93,1,1,GaNd2S4
94,0,0,GeAl2O4
95,0,0,GeAl2S4
96,0,0,GeAl2Se4
97,0,0,GeBi2O4
98,0,0,GeBi2S4
99,0,0,GeBi2Se4
100,1,1,GeCa2S4
101,1,1,GeCa2Se4
102,0,0,GeCd2O4
103,0,0,GeCd2S4
104,0,0,GeCd2Se4
105,0,0,GeCr2O4
106,0,0,GeGa2O4
107,0,0,GeGa2S4
108,0,0,GeGa2Se4
109,0,0,GeIn2O4
110,0,0,GeIn2S4
111,0,0,GeIn2Se4
112,0,1,GeLa2O4
113,1,1,GeLa2S4
114,1,1,GeLa2Se4
115,1,1,GeLu2O4
116,1,1,GeLu2S4
117,1,1,GeLu2Se4
118,0,1,GeMg2S4
119,0,1,GeMg2Se4
120,0,0,GeMn2O4
121,0,0,GeMn2Se4
122,0,0,GeMo2O4
123,0,0,GeMo2Se4
124,1,1,GeNd2S4
125,1,1,GeNd2Se4
126,0,0,GePd2O4
127,0,0,GeW2Se4
128,1,0,GeZn2O4
129,0,0,GeZn2S4
130,0,0,GeZn2Se4
131,0,0,LaAl2O4
132,0,0,LaGa2O4
133,0,1,LaLu2Se4
134,0,0,MgAl2Se4
135,0,0,MgBi2Se4
136,0,0,MgGa2Se4
137,0,0,MgMo2Se4
138,0,0,MgPd2Se4
139,0,0,MnAl2Se4
140,0,0,MnBi2S4
141,0,0,MnBi2Se4
142,0,0,MnCd2O4
143,0,0,MnCd2S4
144,0,0,MnCd2Se4
145,0,0,MnGa2O4
146,0,0,MnGa2Se4
147,0,0,MnIn2Se4
148,0,1,MnLu2O4
149,0,0,MnMo2Se4
150,1,1,MnNa2Se4
151,0,1,MnRb2O4
152,1,1,MnRb2S4
153,1,1,MnRb2Se4
154,0,0,MnW2Se4
155,0,0,MoAg2Se4
156,1,0,MoCd2O4
157,0,0,MoCd2Se4
158,0,0,MoCu2O4
159,0,0,MoCu2Se4
160,0,0,MoLa2O4
161,0,0,MoLa2Se4
162,0,0,MoLu2O4
163,0,1,MoMg2O4
164,0,1,MoMg2Se4
165,0,1,MoNa2S4
166,0,1,MoNa2Se4
167,0,1,MoNd2O4
168,0,1,MoRb2O4
169,0,1,MoRb2S4
170,0,1,MoRb2Se4
171,0,0,MoZn2O4
172,0,0,MoZn2Se4
173,1,0,NiCd2O4
174,0,0,NiCd2Se4
175,0,0,RbCr2O4
176,0,0,RbMn2O4
177,0,0,RbV2O4
178,0,0,RbW2Se4
