element,common_oxidation_states,icsd_oxidation_states,oxidation_states
H,"(-1, 1)","(1, -1)","(-1, 1)"
He,(),(),()
Li,"(1,)","(1,)","(1,)"
Be,"(2,)","(2,)","(2,)"
B,"(3,)","(3, -3)","(1, 2, 3)"
C,"(-4, 4)","(2, 3, 4, -4, -3, -2)","(-4, -3, -2, -1, 1, 2, 3, 4)"
N,"(-3, 3, 5)","(1, 3, 5, -1, -3, -2)","(-3, -2, -1, 1, 2, 3, 4, 5)"
O,"(-2,)","(-2,)","(-2, -1, 1, 2)"
F,"(-1,)","(-1,)","(-1,)"
Ne,(),(),()
Na,"(1,)","(1,)","(-1, 1)"
Mg,"(2,)","(2,)","(1, 2)"
Al,"(3,)","(3,)","(1, 3)"
Si,"(-4, 4)","(-4, 4)","(-4, -3, -2, -1, 1, 2, 3, 4)"
P,"(-3, 3, 5)","(3, 4, 5, -2, -3, -1)","(-3, -2, -1, 1, 2, 3, 4, 5)"
S,"(-2, 2, 4, 6)","(-1, 2, 4, -2, 6)","(-2, -1, 1, 2, 3, 4, 5, 6)"
Cl,"(-1, 1, 3, 5, 7)","(-1,)","(-1, 1, 2, 3, 4, 5, 6, 7)"
Ar,(),(),()
K,"(1,)","(1,)","(-1, 1)"
Ca,"(2,)","(2,)","(2,)"
Sc,"(3,)","(2, 3)","(1, 2, 3)"
Ti,"(4,)","(2, 3, 4)","(-1, 2, 3, 4)"
V,"(5,)","(2, 3, 4, 5)","(-1, 1, 2, 3, 4, 5)"
Cr,"(3, 6)","(2, 3, 4, 5, 6)","(-2, -1, 1, 2, 3, 4, 5, 6)"
Mn,"(2, 4, 7)","(2, 3, 4, 7)","(-3, -2, -1, 1, 2, 3, 4, 5, 6, 7)"
Fe,"(2, 3)","(2, 3)","(-2, -1, 1, 2, 3, 4, 5, 6)"
Co,"(2, 3)","(1, 2, 3, 4)","(-1, 1, 2, 3, 4, 5)"
Ni,"(2,)","(1, 2, 3, 4)","(-1, 1, 2, 3, 4)"
Cu,"(2,)","(1, 2, 3)","(1, 2, 3, 4)"
Zn,"(2,)","(2,)","(1, 2)"
Ga,"(3,)","(2, 3)","(1, 2, 3)"
Ge,"(-4, 2, 4)","(2, 3, 4)","(-4, 1, 2, 3, 4)"
As,"(-3, 3, 5)","(2, 3, 5, -2, -3, -1)","(-3, 2, 3, 5)"
Se,"(-2, 2, 4, 6)","(-1, 4, -2, 6)","(-2, 2, 4, 6)"
Br,"(-1, 1, 3, 5, 7)","(5, -1)","(-1, 1, 3, 4, 5, 7)"
Kr,(),(),()
Rb,"(1,)","(1,)","(1,)"
Sr,"(2,)","(2,)","(2,)"
Y,"(3,)","(3,)","(1, 2, 3)"
Zr,"(4,)","(2, 3, 4)","(1, 2, 3, 4)"
Nb,"(5,)","(2, 3, 4, 5)","(-1, 2, 3, 4, 5)"
Mo,"(4, 6)","(2, 3, 4, 5, 6)","(-2, -1, 1, 2, 3, 4, 5, 6)"
Tc,"(4, 7)",(),"(-3, -1, 1, 2, 3, 4, 5, 6, 7)"
Ru,"(3, 4)","(2, 3, 4, 5, 6)","(-2, 1, 2, 3, 4, 5, 6, 7, 8)"
Rh,"(3,)","(3, 4)","(-1, 1, 2, 3, 4, 5, 6)"
Pd,"(2, 4)","(2, 4)","(2, 4)"
Ag,"(1,)","(1, 2, 3)","(1, 2, 3)"
Cd,"(2,)","(2,)","(1, 2)"
In,"(3,)","(1, 2, 3)","(1, 2, 3)"
Sn,"(-4, 2, 4)","(2, 3, 4)","(-4, 2, 4)"
Sb,"(-3, 3, 5)","(-2, 3, 5, -1, -3)","(-3, 3, 5)"
Te,"(-2, 2, 4, 6)","(-2, 4, -1, 6)","(-2, 2, 4, 5, 6)"
I,"(-1, 1, 3, 5, 7)","(5, -1)","(-1, 1, 3, 5, 7)"
Xe,(),(),()
Cs,"(1,)","(1,)","(1,)"
Ba,"(2,)","(2,)","(2,)"
La,"(3,)","(2, 3)","(2, 3)"
Ce,"(3, 4)","(3, 4)","(2, 3, 4)"
Pr,"(3,)","(3, 4)","(2, 3, 4)"
Nd,"(3,)","(2, 3)","(2, 3)"
Pm,"(3,)",(),"(3,)"
Sm,"(3,)","(2, 3)","(2, 3)"
Eu,"(2, 3)","(2, 3)","(2, 3)"
Gd,"(3,)","(3,)","(1, 2, 3)"
Tb,"(3,)","(3, 4)","(1, 3, 4)"
Dy,"(3,)","(3,)","(2, 3)"
Ho,"(3,)","(3,)","(3,)"
Er,"(3,)","(3,)","(3,)"
Tm,"(3,)","(3,)","(2, 3)"
Yb,"(3,)","(2, 3)","(2, 3)"
Lu,"(3,)","(3,)","(3,)"
Hf,"(4,)","(4,)","(2, 3, 4)"
Ta,"(5,)","(3, 4, 5)","(-1, 2, 3, 4, 5)"
W,"(4, 6)","(2, 3, 4, 5, 6)","(-2, -1, 1, 2, 3, 4, 5, 6)"
Re,"(4,)","(3, 4, 5, 6, 7)","(-3, -1, 1, 2, 3, 4, 5, 6, 7)"
