formula,target,oxidation_states
Pb1Sr2Tl1,-0.007345358749998,[]
H6N3P1S1,-0.027112883701646,"{'H': 1.0, 'N': -3.0, 'P': 5.0, 'S': -2.0}"
Cl1F1Sn1,-0.016853676460756,"({'Cl': -1.0, 'F': -1.0, 'Sn': 2.0},)"
Cs2Ga1I6Tl1,0.077589820749997,"({'Cs': 1.0, 'Ga': 3.0, 'I': -1.0, 'Tl': 1.0},)"
Mo1O3Y1,-0.0141075582520339,"({'Mo': 3.0, 'O': -2.0, 'Y': 3.0},)"
Ba1Ce2Fe1S5,0.010268995277801,"({'Ba': 2.0, 'Ce': 3.0, 'Fe': 2.0, 'S': -2.0},)"
Ba1Hg3,-0.022897834843753,[]
Ga1O3V1,0.093355253124993,"{'Ga': 3.0, 'O': -2.0, 'V': 3.0}"
Cu3Fe4O24V6,0.022752124999995,"{'Cu': 2.0, 'Fe': 3.0, 'O': -2.0, 'V': 5.0}"
Ag2Ba1K1Te4,-0.020128152500051,"{'Ag': 2.0, 'Ba': 2.0, 'K': 1.0, 'Te': -1.75}"
Bi2Mg2Sr1,-0.095215570307349,[]
Cu1F6Li3,-0.005929895082639,"({'Cu': 3.0, 'F': -1.0, 'Li': 1.0},)"
Bi1F5Li1,0.064282971071565,[]
C1H9N4O4P1,0.06936201680841,"{'C': 4.0, 'H': 1.0, 'N': -2.5, 'O': -2.0, 'P': 5.0}"
Ag3Y1,0.044054678369565,[]
C9Cl9H30N3Sb2,0.065300178219355,"{'C': -1.3333333333333333, 'Cl': -1.0, 'H': 1.0, 'N': -3.0, 'Sb': 0.0}"
Ba1Li1O11Ru5,0.027968887962944,"({'Ba': 2.0, 'Li': 1.0, 'O': -2.0, 'Ru': 3.8},)"
Al2H12O15Se3,-0.005893814358657,"{'Al': 3.0, 'H': 1.0, 'O': -2.0, 'Se': 4.0}"
Nb1Re1,-0.136211033749999,[]
Cd13In26Se54,0.044455715406585,"{'Cd': 2.0, 'In': 2.923076923076923, 'Se': -1.8888888888888888}"
Br2Ca2H1,0.9272490492500012,[]
B6H6K1O6,0.217890249159242,[]
Er6Fe1Sb2,-0.011625634537044,[]
Fe4Sc1Y1,0.023214509028085,[]
Ge3Pr5,0.01611581375,[]
Cs3K1O20Si6Zr2,0.12410605242194,[]
C1Li2O7P1Sb1,0.0299969188427559,"{'C': 4.0, 'Li': 1.0, 'O': -2.0, 'P': 5.0, 'Sb': 3.0}"
Ba1S1,-0.7308827708333201,"({'Ba': 2.0, 'S': -2.0},)"
Fe4S5,0.057218317777777,"{'Fe': 2.5, 'S': -2.0}"
Ce3Zn22,0.007734929253333,[]
Be4Nb1Ti1,0.035168788749999,[]
Ir1Ni1Y2,0.029370960812016,[]
Fe5Li3O12,0.1278013748124969,[]
O9Sr3Ti2Zr1,0.01805439033332,"({'O': -2.0, 'Sr': 2.0, 'Ti': 4.0, 'Zr': 4.0},)"
Ca2Nb3O10Rb1,0.046942222186649,"({'Ca': 2.0, 'Nb': 5.0, 'O': -2.0, 'Rb': 1.0},)"
S2Se2Te2W3,0.065770936944445,"{'S': -2.0, 'Se': -2.0, 'Te': -2.0, 'W': 4.0}"
Cs1Ho1S4Si1,-0.059809568332067,"{'Cs': 1.0, 'Ho': 3.0, 'S': -2.0, 'Si': 4.0}"
Cu1O9P3Tl1,-0.0088965776245419,"{'Cu': 2.0, 'O': -2.0, 'P': 5.0, 'Tl': 1.0}"
Cu3Mn3O16Te2,0.04728636760411,"{'Cu': 2.0, 'Mn': 5.333333333333333, 'O': -2.0, 'Te': 5.0}"
Cu1Eu1Sb1,-0.0878363620032059,"({'Cu': 1.0, 'Eu': 2.0, 'Sb': -3.0},)"
Ho1O3Sm1,0.066907494624978,"({'Ho': 3.0, 'O': -2.0, 'Sm': 3.0},)"
Au3In5Sr1,0.017359142685186,[]
Er1Gd1Ir2,-0.158137389999998,[]
Al9Pd3Tb2,-0.002587966021329,[]
Ba1Fe6O11Zn1,0.195577726315787,"({'Ba': 2.0, 'Fe': 3.0, 'O': -2.0, 'Zn': 2.0},)"
Ba6Ge2N7,0.145194031333334,"{'Ba': 2.0, 'Ge': 4.0, 'N': -2.857142857142857}"
Nb2O7Pb2,0.0519853140908709,"{'Nb': 5.0, 'O': -2.0, 'Pb': 2.0}"
F10N1Y3,0.3957436526828359,"({'F': -1.0, 'N': 1.0, 'Y': 3.0},)"
O6Sr2W1Zn1,0.000250280900164,"({'O': -2.0, 'Sr': 2.0, 'W': 6.0, 'Zn': 2.0},)"
Ge1Ni3,-0.042609060833331,[]
