formula,target,oxidation_states
Pb1Sr2Tl1,-0.49303449375,[]
H6N3P1S1,-0.6193589655741231,"{'H': 1.0, 'N': -3.0, 'P': 5.0, 'S': -2.0}"
Cl1F1Sn1,-2.0073737364833333,"({'Cl': -1.0, 'F': -1.0, 'Sn': 2.0},)"
Cs2Ga1I6Tl1,-0.901153476741379,"({'Cs': 1.0, 'Ga': 3.0, 'I': -1.0, 'Tl': 1.0},)"
Mo1O3Y1,-2.97486220175,"({'Mo': 3.0, 'O': -2.0, 'Y': 3.0},)"
Ba1Ce2Fe1S5,-2.057520440034724,"({'Ba': 2.0, 'Ce': 3.0, 'Fe': 2.0, 'S': -2.0},)"
Ba1Hg3,-0.42958642875,[]
Ga1O3V1,-2.312378066250001,"{'Ga': 3.0, 'O': -2.0, 'V': 3.0}"
Cu3Fe4O24V6,-1.990022076756756,"{'Cu': 2.0, 'Fe': 3.0, 'O': -2.0, 'V': 5.0}"
Ag2Ba1K1Te4,-0.7372533947499991,"{'Ag': 2.0, 'Ba': 2.0, 'K': 1.0, 'Te': -1.75}"
Bi2Mg2Sr1,-0.5297125819999989,[]
Cu1F6Li3,-2.616720901047334,"({'Cu': 3.0, 'F': -1.0, 'Li': 1.0},)"
Bi1F5Li1,-2.631071939421428,[]
C1H9N4O4P1,-1.079109664104886,"{'C': 4.0, 'H': 1.0, 'N': -2.5, 'O': -2.0, 'P': 5.0}"
Ag3Y1,-0.227748037499999,[]
C9Cl9H30N3Sb2,-0.586360435449622,"{'C': -1.3333333333333333, 'Cl': -1.0, 'H': 1.0, 'N': -3.0, 'Sb': 0.0}"
Ba1Li1O11Ru5,-1.690507656875,"({'Ba': 2.0, 'Li': 1.0, 'O': -2.0, 'Ru': 3.8},)"
Al2H12O15Se3,-1.679234291499101,"{'Al': 3.0, 'H': 1.0, 'O': -2.0, 'Se': 4.0}"
Nb1Re1,-0.136211033749999,[]
Cd13In26Se54,-0.519163000921819,"{'Cd': 2.0, 'In': 2.923076923076923, 'Se': -1.8888888888888888}"
Br2Ca2H1,-0.5223150167239989,[]
B6H6K1O6,-1.4611755627484218,[]
Er6Fe1Sb2,-0.5556607288888881,[]
Fe4Sc1Y1,-0.154712771666667,[]
Ge3Pr5,-0.6804505137499991,[]
Cs3K1O20Si6Zr2,-2.913424935050648,[]
C1Li2O7P1Sb1,-2.286380569553572,"{'C': 4.0, 'Li': 1.0, 'O': -2.0, 'P': 5.0, 'Sb': 3.0}"
Ba1S1,-2.41173967703125,"({'Ba': 2.0, 'S': -2.0},)"
Fe4S5,-0.8223848255902779,"{'Fe': 2.5, 'S': -2.0}"
Ce3Zn22,-0.237844271399999,[]
Be4Nb1Ti1,-0.162988581111111,[]
Ir1Ni1Y2,-0.617503292499999,[]
Fe5Li3O12,-1.58985307775,[]
O9Sr3Ti2Zr1,-3.587916264972222,"({'O': -2.0, 'Sr': 2.0, 'Ti': 4.0, 'Zr': 4.0},)"
Ca2Nb3O10Rb1,-3.1204110404903003,"({'Ca': 2.0, 'Nb': 5.0, 'O': -2.0, 'Rb': 1.0},)"
