formula,target,oxidation_states
Al1Sm1Tm1,0.500244708,[]
Al2Na1Sr1,0.093413435,[]
Be1Mn1Ru1Zn1,-0.019797143,[]
Au2Hg1Y1,-0.5648775220000001,[]
Ge1Li1Mn2,-0.096893956,[]
Ir1K2Li1,0.788695198,[]
Fe2In1Pa1,0.01128134,[]
Ni1O3Y1,-2.380548741,"({'Ni': 3.0, 'O': -2.0, 'Y': 3.0},)"
Er2Ta1Tc1,0.446472394,[]
Mg1Pm1Rb1,0.728285739,[]
Ir1Mn1Os1Si1,0.131739,"{'Ir': 4.0, 'Mn': 2.0, 'Os': -2.0, 'Si': -4.0}"
Er1Pb2Pt1,-0.197144113,[]
Be2Li1Te1,0.615431534,[]
Ca1Sm1Yb2,0.081160136,[]
Hg1La2Pt1,-0.705632481,[]
B2Ga1Mo1,0.915272476,"{'B': -3.0, 'Ga': 3.0, 'Mo': 3.0}"
Ir2Li1Ti1,-0.658261291,[]
Be1Pd1V2,-0.00835557,[]
Cu1Pt1Y1Zn1,-0.547789166,[]
Cu1Eu1Th2,0.298235138,[]
Dy1Mo1Pb2,0.262917833,[]
Co1Ge2Nd2,-0.669729008,[]
Ag1Fe1Ga1Hg1,0.307262123,[]
Ac1Pr1Ti2,0.402391169,[]
Fe1Np2Zn1,0.805313058,[]
Ba4Sb4Se11,-1.040855971,"{'Ba': 2.0, 'Sb': 3.5, 'Se': -2.0}"
Al1Cu1Pt1,-0.44517066,[]
Er1O6Pt2Sr1,-1.719271479,"({'Er': 3.0, 'O': -2.0, 'Pt': 3.5, 'Sr': 2.0},)"
Au1Be1Pr1,0.365540148,[]
Cs1Hf1U1,2.198865037,[]
B1Ir1V1,-0.159345623,[]
Mg1O4Tb2,-3.198626895,"({'Mg': 2.0, 'O': -2.0, 'Tb': 3.0},)"
Pt1Tb2Yb1,-0.02945789,[]
Ag1In2Ir1,0.006686506,[]
Au1Co1Sn2,0.219170599,[]
C2H6N3O3,-0.67149936,"{'C': 4.0, 'H': 1.0, 'N': -2.6666666666666665, 'O': -2.0}"
Ac1B1Ru1,1.453351654,[]
Cu3Mn3O8,-1.455451184,"{'Cu': 1.6666666666666667, 'Mn': 3.6666666666666665, 'O': -2.0}"
La1Te1Th1,-0.433421858,[]
Cd1Cs1Zn1,0.22571408,[]
Be1In1Ni1Zn1,0.11214523,[]
Co1Hg1Ho2,-0.21592298,[]
Cd2Ge3La2,-0.380567688,[]
Nd1Pr2Y1,0.114662229,[]
Cs1Eu1Ho2,0.6687694479999999,[]
Ba1In2Te4,-0.785431845,"{'Ba': 2.0, 'In': 3.0, 'Te': -2.0}"
Ge2Lu1Pb1,-0.060315491,[]
Be1O3Si1,-1.793508597,"({'Be': 2.0, 'O': -2.0, 'Si': 4.0},)"
As1Np1Re1,0.5587026970000001,[]
Lu2Th1Zr1,0.18101246,[]
Cr1Ge1Mg1Zn1,0.093601541,[]
C2Gd1,-0.185536981,[]
Ru1Sn1U2,0.273607328,[]
Lu1Ti1Yb1,1.172549397,[]
Ag1Bi1Fe1Ta1,0.6690309839999999,[]
Ag2Ge1Sr1,-0.141563195,[]
B1Co1Lu2,0.002000243,[]
