formula,target,oxidation_states
Al1N1Zr2,14.2322,[]
Hf1P1V1,9.47271,[]
Te12Th7,1.21252,[]
Ge6Ir7Yb4,3.4475800000000003,[]
P1Sn1,8.750210000000001,"{'P': -3.0, 'Sn': 3.0}"
Bi1Tb1,6.5615,[]
Au2Er1,2.8501,[]
Co1Zr1,15.6361,[]
Mg1Y1,12.4829,[]
Ga2La1,9.19381,[]
Dy1Ir2,7.194539999999999,[]
O2Pt1,7.22307,"({'O': -2.0, 'Pt': 4.0},)"
As1Na3Se3,0.6516930000000001,"{'As': 3.0, 'Na': 1.0, 'Se': -2.0}"
Cl6Cs2Zr1,1.53117,"({'Cl': -1.0, 'Cs': 1.0, 'Zr': 4.0},)"
B1Ni4Tb1,4.69371,[]
Ni1S1Sb1,2.9803,"{'Ni': 3.0, 'S': -2.0, 'Sb': -1.0}"
P2Ru1,20.7771,"{'P': -3.0, 'Ru': 6.0}"
Ag1As1Ba1,2.30341,"({'Ag': 1.0, 'As': -3.0, 'Ba': 2.0},)"
Au1Er1,3.75609,[]
Ba1Mg4Si3,5.87975,[]
Ir1P1Se1,6.81382,"{'Ir': 5.0, 'P': -3.0, 'Se': -2.0}"
Cs1F3Pb1,1.12304,"({'Cs': 1.0, 'F': -1.0, 'Pb': 2.0},)"
Bi1Ni1Y1,6.5316199999999975,[]
B2Mo2Ru1,9.72627,"({'B': -3.0, 'Mo': 2.0, 'Ru': 2.0},)"
Bi2O7Ti2,3.89072,"{'Bi': 3.0, 'O': -2.0, 'Ti': 4.0}"
Mo3P1,6.2961,[]
Al18Cr2Mg3,2.1829400000000003,[]
Rh1Sb1U1,0.602137,[]
Ca3N1Pb1,0.877301,[]
Pd2Sc1Sn1,2.92698,[]
Ge12Pr1Pt4,0.423097,[]
Al4La1,2.97362,[]
Ag2Er1,2.19604,[]
Au2Br6Cs2,0.452325,"{'Au': 2.0, 'Br': -1.0, 'Cs': 1.0}"
Al2Ho3,2.29906,[]
Bi1Ir1S1,3.50156,[]
Ca2Nb2O7,8.92813,"({'Ca': 2.0, 'Nb': 5.0, 'O': -2.0},)"
Ru1Sb1Zr1,6.74952,[]
Cd1Dy2Se4,1.04782,"({'Cd': 2.0, 'Dy': 3.0, 'Se': -2.0},)"
In2Ir1Sr1,2.15815,[]
Sc5Si3,8.43432,"({'Sc': 2.4, 'Si': -4.0},)"
Cd1Cu4Yb1,0.710284,[]
Li3Pb1,2.2980400000000003,[]
Cu2O3Sr1,5.34777,"({'Cu': 2.0, 'O': -2.0, 'Sr': 2.0},)"
O3Sr1Zr1,10.3146,"({'O': -2.0, 'Sr': 2.0, 'Zr': 4.0},)"
Nb3Te1,8.06703,[]
