formula,target,oxidation_states
F1Li1N1Na1O1,2.13,"({'F': -1.0, 'Li': 1.0, 'N': 1.0, 'Na': 1.0, 'O': -2.0},)"
F1Ga1Mo1N1O1,0.8799999999999999,"{'F': -1.0, 'Ga': 3.0, 'Mo': 3.0, 'N': -3.0, 'O': -2.0}"
Cd1Li1N3,2.84,"({'Cd': 2.0, 'Li': 1.0, 'N': -1.0},)"
As1O2Pd1S1,1.09,"{'As': 2.0, 'O': -2.0, 'Pd': 4.0, 'S': -2.0}"
As1F1N1O1Zr1,1.14,"{'As': 2.0, 'F': -1.0, 'N': -3.0, 'O': -2.0, 'Zr': 4.0}"
Cd1Ga1O3,1.22,[]
N3Ni2,1.48,"{'N': -1.0, 'Ni': 1.5}"
Ba1O2Pb1S1,1.2000000000000002,"({'Ba': 2.0, 'O': -2.0, 'Pb': 4.0, 'S': -2.0},)"
In1N2Nb1O1,0.91,"{'In': 3.0, 'N': -3.0, 'Nb': 5.0, 'O': -2.0}"
Ca1F1O2Si1,1.13,[]
Ba1O2Os1S1,2.2,"{'Ba': 2.0, 'O': -2.0, 'Os': 4.0, 'S': -2.0}"
Ag1N1O2Re1,1.72,"{'Ag': 1.0, 'N': -3.0, 'O': -2.0, 'Re': 6.0}"
Ca1N1O2Te1,1.48,"{'Ca': 2.0, 'N': -2.0, 'O': -2.0, 'Te': 4.0}"
Co1La1O2S1,1.42,"{'Co': 3.0, 'La': 3.0, 'O': -2.0, 'S': -2.0}"
As1Ir1N3,1.95,"{'As': 5.0, 'Ir': 4.0, 'N': -3.0}"
As1F1N1O1Re1,1.25,"{'As': 3.0, 'F': -1.0, 'N': -3.0, 'O': -2.0, 'Re': 3.0}"
Co1In1N2O1,1.7600000000000002,"{'Co': 3.0, 'In': 3.0, 'N': -2.0, 'O': -2.0}"
Bi1F1N1O1Pd1,1.37,"{'Bi': 2.0, 'F': -1.0, 'N': -3.0, 'O': -2.0, 'Pd': 4.0}"
Ge1Mn1O3,0.3399999999999999,"{'Ge': 4.0, 'Mn': 2.0, 'O': -2.0}"
F1O2Y1Zn1,0.76,"({'F': -1.0, 'O': -2.0, 'Y': 3.0, 'Zn': 2.0},)"
Cu1Hg1O2S1,1.23,"{'Cu': 1.0, 'Hg': 1.0, 'O': -2.0, 'S': 2.0}"
Al1Cd1N3,1.72,"({'Al': 3.0, 'Cd': 2.0, 'N': -1.6666666666666667},)"
Bi1In1N3,2.0,"{'Bi': 3.0, 'In': 2.0, 'N': -1.6666666666666667}"
Au1Ir1O3,2.0,"{'Au': 2.0, 'Ir': 4.0, 'O': -2.0}"
In2N1O2,1.26,"{'In': 3.0, 'N': -2.0, 'O': -2.0}"
F1La1N1O1Pt1,1.67,"{'F': -1.0, 'La': 2.0, 'N': -3.0, 'O': -2.0, 'Pt': 4.0}"
Hf1O3V1,0.63,"({'Hf': 4.0, 'O': -2.0, 'V': 2.0},)"
Ag2N2O1,2.46,"{'Ag': 1.0, 'N': 0.0, 'O': -2.0}"
Ba1N2O1Ti1,2.0,"{'Ba': 2.0, 'N': -2.0, 'O': -2.0, 'Ti': 4.0}"
Be1O2S1Si1,1.36,"{'Be': 2.0, 'O': -2.0, 'S': -2.0, 'Si': 4.0}"
Bi1F1N1O1Re1,1.52,"{'Bi': 3.0, 'F': -1.0, 'N': -3.0, 'O': -2.0, 'Re': 3.0}"
Ba1F1N1O1Pb1,1.24,"{'Ba': 2.0, 'F': -1.0, 'N': -3.0, 'O': -2.0, 'Pb': 4.0}"
F1Fe1N1O1Sn1,0.96,"{'F': -1.0, 'Fe': 2.0, 'N': -3.0, 'O': -2.0, 'Sn': 4.0}"
N2Ni1O1Sc1,1.37,"{'N': -1.0, 'Ni': 2.0, 'O': -2.0, 'Sc': 2.0}"
Au1Bi1F1O2,1.25,"{'Au': 2.0, 'Bi': 3.0, 'F': -1.0, 'O': -2.0}"
Cu2N2O1,2.2,"{'Cu': 1.0, 'N': 0.0, 'O': -2.0}"
Hg1N2O1Ta1,1.38,"{'Hg': 2.0, 'N': -2.5, 'O': -2.0, 'Ta': 5.0}"
Cu1F1Ni1O2,1.23,"{'Cu': 1.0, 'F': -1.0, 'Ni': 4.0, 'O': -2.0}"
Ca1F1O2Os1,1.88,"({'Ca': 2.0, 'F': -1.0, 'O': -2.0, 'Os': 3.0},)"
Ca1Cs1N2O1,3.0700000000000003,"({'Ca': 2.0, 'Cs': 1.0, 'N': -0.5, 'O': -2.0},)"
Ag1O3Re1,1.6,"{'Ag': 1.0, 'O': -2.0, 'Re': 5.0}"
F1N1O1Sr1Tl1,1.61,"({'F': -1.0, 'N': -2.0, 'O': -2.0, 'Sr': 2.0, 'Tl': 3.0},)"
F1O2Pt1Y1,1.5299999999999998,"({'F': -1.0, 'O': -2.0, 'Pt': 2.0, 'Y': 3.0},)"
O2S1Ti2,0.56,"{'O': -2.0, 'S': -2.0, 'Ti': 3.0}"
As1Mg1N1O2,1.38,"{'As': 5.0, 'Mg': 2.0, 'N': -3.0, 'O': -2.0}"
Li1N1O2V1,1.26,"{'Li': 1.0, 'N': -2.0, 'O': -2.0, 'V': 5.0}"
N2O1Sr1Y1,2.2,"({'N': -1.5, 'O': -2.0, 'Sr': 2.0, 'Y': 3.0},)"
In1N1O2Zn1,1.49,"{'In': 3.0, 'N': -1.0, 'O': -2.0, 'Zn': 2.0}"
Hg1O2S1Sc1,1.41,"({'Hg': 2.0, 'O': -2.0, 'S': -1.0, 'Sc': 3.0},)"
N1O2Rb1Si1,2.4000000000000004,"({'N': -1.0, 'O': -2.0, 'Rb': 1.0, 'Si': 4.0},)"
Cu1F1O2Pd1,1.39,"{'Cu': 1.0, 'F': -1.0, 'O': -2.0, 'Pd': 4.0}"
La1O2S1Sc1,0.83,"{'La': 3.0, 'O': -2.0, 'S': -2.0, 'Sc': 3.0}"
Cu1N2O1W1,0.98,"{'Cu': 2.0, 'N': -3.0, 'O': -2.0, 'W': 6.0}"
Cs1F1In1N1O1,1.98,"{'Cs': 1.0, 'F': -1.0, 'In': 3.0, 'N': -1.0, 'O': -2.0}"
Cr1F1Mn1N1O1,0.86,"{'Cr': 4.0, 'F': -1.0, 'Mn': 2.0, 'N': -3.0, 'O': -2.0}"
Mo1N2O1Sn1,0.8,"{'Mo': 6.0, 'N': -3.0, 'O': -2.0, 'Sn': 2.0}"
Ge1N2Ni1O1,1.17,"{'Ge': 4.0, 'N': -3.0, 'Ni': 4.0, 'O': -2.0}"
Ga2N1O2,1.34,"{'Ga': 3.0, 'N': -2.0, 'O': -2.0}"
Au1Cd1N2O1,2.05,"{'Au': 5.0, 'Cd': 2.0, 'N': -2.5, 'O': -2.0}"
Ba1Mn1N2O1,1.43,"{'Ba': 2.0, 'Mn': 2.0, 'N': -1.0, 'O': -2.0}"
N3Rb1Te1,3.17,"{'N': -1.6666666666666667, 'Rb': 1.0, 'Te': 4.0}"
Bi1Cr1N3,1.31,"{'Bi': 3.0, 'Cr': 6.0, 'N': -3.0}"
Cd1O2S1Sb1,1.01,"{'Cd': 2.0, 'O': -2.0, 'S': -1.0, 'Sb': 3.0}"
As1Ir1N2O1,1.67,"{'As': 5.0, 'Ir': 3.0, 'N': -3.0, 'O': -2.0}"
