formula,target,oxidation_states
Ca1Hg1O2,2.0323401126123875,"({'Ca': 2.0, 'Hg': 2.0, 'O': -2.0},)"
Li8O16Zr6,2.077186558785705,"({'Li': 1.0, 'O': -2.0, 'Zr': 4.0},)"
As2Au2Na4,3.5748193427546107,"{'As': -3.0, 'Au': 1.0, 'Na': 1.0}"
Cd1Ge1Te4Tl2,3.7103414038782647,"{'Cd': 2.0, 'Ge': 4.0, 'Te': -2.0, 'Tl': 1.0}"
K2P2S6,1.9344249791644088,"{'K': 1.0, 'P': 5.0, 'S': -2.0}"
K4P6,2.1834890820350026,"({'K': 1.0, 'P': -0.6666666666666666},)"
Au4O6,3.0468834897317616,"({'Au': 3.0, 'O': -2.0},)"
Ge2Na4O6,1.706842015731587,"({'Ge': 4.0, 'Na': 1.0, 'O': -2.0},)"
Mg2Sb2Sr1,3.186465492255224,"({'Mg': 2.0, 'Sb': -3.0, 'Sr': 2.0},)"
Au3Rb3Sb2,2.8633313930921336,"{'Au': -1.0, 'Rb': 1.0, 'Sb': 0.0}"
Be2F8K2Pb1,1.5250136611268137,"({'Be': 2.0, 'F': -1.0, 'K': 1.0, 'Pb': 2.0},)"
I1K1,1.7655027612552967,"({'I': -1.0, 'K': 1.0},)"
As8Zn8,4.6191629833408845,"({'As': -2.0, 'Zn': 2.0},)"
C3H3O6Tb1,1.7613562009618189,"{'C': 2.0, 'H': 1.0, 'O': -2.0, 'Tb': 3.0}"
As2Sr1Zn2,3.8789603418098255,"({'As': -3.0, 'Sr': 2.0, 'Zn': 2.0},)"
Al4B12Be4Cs1O28,1.0,[]
Al2Cl8Cu2,1.7202859258468248,"({'Al': 3.0, 'Cl': -1.0, 'Cu': 1.0},)"
C2F2K6O6,1.4898545790270756,"({'C': 4.0, 'F': -1.0, 'K': 1.0, 'O': -2.0},)"
Ba1F6Ti1,1.6108441886166378,"({'Ba': 2.0, 'F': -1.0, 'Ti': 4.0},)"
Cd1Na4P2,2.4708035804841506,"({'Cd': 2.0, 'Na': 1.0, 'P': -3.0},)"
F10P2,1.3042239071570518,"({'F': -1.0, 'P': 5.0},)"
K1O2Sc1,1.966504513089144,"({'K': 1.0, 'O': -2.0, 'Sc': 3.0},)"
Au1K3O1,2.2260123539639207,"({'Au': -1.0, 'K': 1.0, 'O': -2.0},)"
Be2H16O16S2,1.4714697867551794,"({'Be': 2.0, 'H': 1.0, 'O': -2.0, 'S': 6.0},)"
As2Ba4O1,3.058641855464616,"({'As': -3.0, 'Ba': 2.0, 'O': -2.0},)"
Cu1Fe5O8,3.5623479616679803,"{'Cu': 1.0, 'Fe': 3.0, 'O': -2.0}"
Cs1Ga1H1O10P3,1.5793555647795086,"({'Cs': 1.0, 'Ga': 3.0, 'H': 1.0, 'O': -2.0, 'P': 5.0},)"
Ba2S4,2.230919093108781,"({'Ba': 2.0, 'S': -1.0},)"
P8Pt4,4.4323056452971885,"{'P': 1.0, 'Pt': -2.0}"
N3O6Rb3,1.5269465172908538,"({'N': 3.0, 'O': -2.0, 'Rb': 1.0},)"
Se2Sn1,3.859015418471422,"{'Se': -2.0, 'Sn': 4.0}"
F4Mg1Rb2,1.4509832298594512,"({'F': -1.0, 'Mg': 2.0, 'Rb': 1.0},)"
As2F10,1.347837774610385,"({'As': 5.0, 'F': -1.0},)"
Cr2Li5O8,1.8718011824621403,"({'Cr': 5.5, 'Li': 1.0, 'O': -2.0},)"
N4O6Ti6,2.965232143807069,"{'N': -3.0, 'O': -2.0, 'Ti': 4.0}"
Ag2K4P2,2.5917249082416105,"({'Ag': 1.0, 'K': 1.0, 'P': -3.0},)"
F18Ge3Na6,1.3672717359764388,"({'F': -1.0, 'Ge': 4.0, 'Na': 1.0},)"
Bi12Ge1O20,2.4977329721169017,"{'Bi': 3.0, 'Ge': 4.0, 'O': -2.0}"
K4Nb8O34P4Si1,2.139465353774162,"({'K': 1.0, 'Nb': 5.0, 'O': -2.0, 'P': 5.0, 'Si': 4.0},)"
Li8O32Ti12Zn4,2.2361826848448683,"({'Li': 1.0, 'O': -2.0, 'Ti': 4.0, 'Zn': 2.0},)"
Al12N4O12,1.9045086855494604,"({'Al': 3.0, 'N': -3.0, 'O': -2.0},)"
La1Rb1Se2,2.262070364363886,"{'La': 3.0, 'Rb': 1.0, 'Se': -2.0}"
F3Hg1Rb1,1.7387624909687924,"({'F': -1.0, 'Hg': 2.0, 'Rb': 1.0},)"
Be4H12O20P4,1.5288308168880775,"({'Be': 2.0, 'H': 1.0, 'O': -2.0, 'P': 5.0},)"
Cr3O8,2.4855785812760707,"({'Cr': 5.333333333333333, 'O': -2.0},)"
Al6Na8O28S1Si6,1.4715369516257482,"({'Al': 3.0, 'Na': 1.0, 'O': -2.0, 'S': 6.0, 'Si': 4.0},)"
Li1Mn5Na3O9,2.6762332359742738,"({'Li': 1.0, 'Mn': 2.8, 'Na': 1.0, 'O': -2.0},)"
Ba4Cu2Ge4O14,2.1871217768260336,"{'Ba': 2.0, 'Cu': 2.0, 'Ge': 4.0, 'O': -2.0}"
K6Sb2,2.8448784391135926,"({'K': 1.0, 'Sb': -3.0},)"
Cu4Er4S8,2.7584979004281784,"({'Cu': 1.0, 'Er': 3.0, 'S': -2.0},)"
As8Ba4Zn8,4.192254763250917,"({'As': -3.0, 'Ba': 2.0, 'Zn': 2.0},)"
Al2Te5,3.0009998333909347,"({'Al': 3.0, 'Te': -1.2},)"
Ba4Ga4La4O16,2.0855434143966733,"({'Ba': 2.0, 'Ga': 3.0, 'La': 3.0, 'O': -2.0},)"
Al2F14Mg2Na4,1.3769450863298032,"({'Al': 3.0, 'F': -1.0, 'Mg': 2.0, 'Na': 1.0},)"
Br14Ga2Se2,1.9640222334111528,"{'Br': -0.14285714285714285, 'Ga': 3.0, 'Se': -2.0}"
F20H12N4P4,1.4100827398891649,"{'F': -1.0, 'H': 1.0, 'N': -3.0, 'P': 5.0}"
