formula,target,oxidation_states
Pd2Te2,1.3010299956639813,"({'Pd': 2.0, 'Te': -2.0},)"
Ba6N2,0.7781512503836436,[]
B2Co3Tb1,2.071882007306125,"({'B': -3.0, 'Co': 1.0, 'Tb': 3.0},)"
Lu1Pt3,1.8750612633917,[]
Hg4Rb2,0.6989700043360189,[]
Ga4Ho2Pd2,1.6812412373755872,[]
Ca4Pt4Sb4,1.5440680443502757,"{'Ca': 2.0, 'Pt': -2.0, 'Sb': 0.0}"
Pd6Si3,1.7075701760979365,"({'Pd': 2.0, 'Si': -4.0},)"
As2Lu2O8,1.7993405494535817,"({'As': 5.0, 'Lu': 3.0, 'O': -2.0},)"
Be1Mn1Ti2,1.724275869600789,[]
Nb2S4Sn2,1.4771212547196624,"({'Nb': 2.0, 'S': -2.0, 'Sn': 2.0},)"
Ca1Mg2Sb2,1.414973347970818,"({'Ca': 2.0, 'Mg': 2.0, 'Sb': -3.0},)"
O6Pt3Zn1,1.812913356642856,"({'O': -2.0, 'Pt': 3.3333333333333335, 'Zn': 2.0},)"
Ca1F6Ti1,1.3979400086720375,"({'Ca': 2.0, 'F': -1.0, 'Ti': 4.0},)"
Ge3Li3Pr3,1.568201724066995,[]
Pt4Sc4Si4,1.7781512503836436,"{'Pt': -2.0, 'Sc': 2.0, 'Si': 0.0}"
C1Fe2Si2Tm2,1.934498451243568,"{'C': -4.0, 'Fe': 3.0, 'Si': -4.0, 'Tm': 3.0}"
As2Pt2Sr2,1.4771212547196624,"{'As': -3.0, 'Pt': 1.0, 'Sr': 2.0}"
Li2Na2S2,1.380211241711606,"({'Li': 1.0, 'Na': 1.0, 'S': -2.0},)"
B4Ca2Rh4,1.7481880270062005,[]
Cu4Mg4P4,1.6812412373755872,"({'Cu': 1.0, 'Mg': 2.0, 'P': -3.0},)"
B2C1La1Ni2,1.9084850188786493,"{'B': 0.0, 'C': -4.0, 'La': 2.0, 'Ni': 1.0}"
Cd6Er2,1.4313637641589874,[]
Ge4Ni2Sm2,1.662757831681574,[]
Al4Yb2,1.6127838567197357,[]
Ba2Mn1O6U1,1.7160033436347992,"{'Ba': 2.0, 'Mn': 2.0, 'O': -2.0, 'U': 6.0}"
Fe1Te2Zr6,1.7781512503836436,[]
B2Cs2Na4O6,1.3424226808222062,"({'B': 3.0, 'Cs': 1.0, 'Na': 1.0, 'O': -2.0},)"
Be2Hf2Si2,2.071882007306125,[]
As4Co4Hf4,1.963787827345556,[]
O1P2Sr4,1.5314789170422551,"({'O': -2.0, 'P': -3.0, 'Sr': 2.0},)"
Cd1Na4P2,1.1139433523068367,"({'Cd': 2.0, 'Na': 1.0, 'P': -3.0},)"
K2P2Zn2,1.414973347970818,"({'K': 1.0, 'P': -3.0, 'Zn': 2.0},)"
Co2Ga4Sm2,1.6232492903979006,[]
Ca2Ga2,1.380211241711606,[]
Au2Cd1Sm1,0.3010299956639812,[]
Co2Eu1Si2,1.8976270912904407,"{'Co': 2.5, 'Eu': 3.0, 'Si': -4.0}"
Ca3Pb3Pd3,1.3979400086720375,[]
Cu2K2Se2,1.3424226808222062,"({'Cu': 1.0, 'K': 1.0, 'Se': -2.0},)"
Cu2Na2Se2,1.3010299956639813,"({'Cu': 1.0, 'Na': 1.0, 'Se': -2.0},)"
K1O2Sc1,1.792391689498254,"({'K': 1.0, 'O': -2.0, 'Sc': 3.0},)"
O2Rb1Tl1,1.5910646070264989,"({'O': -2.0, 'Rb': 1.0, 'Tl': 3.0},)"
Np2O2S2,1.5910646070264989,"{'Np': 4.0, 'O': -2.0, 'S': -2.0}"
Ba1Pt5,1.7993405494535817,"({'Ba': 2.0, 'Pt': -0.4},)"
Au1K3O1,1.0791812460476249,"({'Au': -1.0, 'K': 1.0, 'O': -2.0},)"
As2Hg2K2,1.2552725051033058,"{'As': -3.0, 'Hg': 2.0, 'K': 1.0}"
Cl1O4Tl1,0.8450980400142568,[]
Pd8Se2,1.568201724066995,[]
P4Ti4,1.9590413923210936,"{'P': -3.0, 'Ti': 3.0}"
Er1In2Sm1,1.3424226808222062,[]
Ag2Sn2Sr1,1.380211241711606,[]
Ba1O6Sb2,1.6232492903979006,"({'Ba': 2.0, 'O': -2.0, 'Sb': 5.0},)"
Ag2As2Ba2,1.4471580313422192,"({'Ag': 1.0, 'As': -3.0, 'Ba': 2.0},)"
Cd2Cu2F8,1.4913616938342726,"({'Cd': 2.0, 'Cu': 2.0, 'F': -1.0},)"
C2O6Zn2,1.6901960800285136,"({'C': 4.0, 'O': -2.0, 'Zn': 2.0},)"
F6Nb1Rb2,1.0413926851582251,"({'F': -1.0, 'Nb': 4.0, 'Rb': 1.0},)"
Cu2Li1P2,1.5563025007672873,"{'Cu': 1.5, 'Li': 1.0, 'P': -2.0}"
Gd1Ni2P2,1.9138138523837167,"{'Gd': 3.0, 'Ni': 1.5, 'P': -3.0}"
F4Hg1Rb2,1.146128035678238,"({'F': -1.0, 'Hg': 2.0, 'Rb': 1.0},)"
Rh2Sc1Zn1,1.7853298350107671,[]
Cd2Dy1Mg1,1.3979400086720375,[]
Ce1Cu2Zn3,1.6532125137753435,[]
B2C1Ho1Ni2,1.869231719730976,"{'B': -3.0, 'C': -2.0, 'Ho': 3.0, 'Ni': 2.5}"
F4Mg1Rb2,1.3222192947339193,"({'F': -1.0, 'Mg': 2.0, 'Rb': 1.0},)"
Pd4Si4Sr4,1.3222192947339193,"({'Pd': 2.0, 'Si': -4.0, 'Sr': 2.0},)"
Na2Rb2S2,1.0791812460476249,"({'Na': 1.0, 'Rb': 1.0, 'S': -2.0},)"
Ba2Cu1O3,1.5910646070264989,"({'Ba': 2.0, 'Cu': 2.0, 'O': -2.0},)"
As2Ca4O1,1.6020599913279625,"({'As': -3.0, 'Ca': 2.0, 'O': -2.0},)"
As4Ni2Zr4,1.8325089127062364,"{'As': -3.0, 'Ni': 2.0, 'Zr': 2.0}"
Al3Ta1,2.0170333392987803,[]
Co2Sc1Sn1,1.869231719730976,[]
Au4Cs4O4,0.9542425094393248,"({'Au': 1.0, 'Cs': 1.0, 'O': -2.0},)"
Li4N8Nb4,1.7634279935629371,"{'Li': 1.0, 'N': -3.0, 'Nb': 5.0}"
Ge8Li8,1.3424226808222062,[]
Al2Hg1Se4,1.2787536009528289,"{'Al': 3.0, 'Hg': 2.0, 'Se': -2.0}"
H6K2Pt1,0.9542425094393248,"{'H': 0.0, 'K': 1.0, 'Pt': -2.0}"
B2K6P4,0.8450980400142568,"{'B': 3.0, 'K': 1.0, 'P': -3.0}"
Fe2N6Sr6,1.5185139398778875,"{'Fe': 3.0, 'N': -3.0, 'Sr': 2.0}"
Pd1Se6Ta2,0.9542425094393248,"{'Pd': 2.0, 'Se': -2.0, 'Ta': 5.0}"
Ca2Ge2N4,1.4771212547196624,"{'Ca': 2.0, 'Ge': 4.0, 'N': -3.0}"
Bi4Cs2,0.9030899869919436,[]
As4B2Rb6,0.7781512503836436,"{'As': -3.0, 'B': 3.0, 'Rb': 1.0}"
Ni4Ta2Te6,1.0,"{'Ni': 1.5, 'Ta': 3.0, 'Te': -2.0}"
Li2Rh2Sn8,1.6020599913279625,[]
Sc2Te2,1.5185139398778875,"({'Sc': 2.0, 'Te': -2.0},)"
Ge2Ir2Sr1,1.812913356642856,[]
Hf1Mn1Rh2,1.8325089127062364,[]
Ge4Ho4Mg2,1.7481880270062005,[]
Sb16Zr8,1.6989700043360187,"{'Sb': -1.875, 'Zr': 3.75}"
B2Co2Er1,2.0492180226701806,"({'B': -3.0, 'Co': 1.5, 'Er': 3.0},)"
Bi1Ho1,1.505149978319906,[]
Ca2N12,1.3424226808222062,"({'Ca': 2.0, 'N': -0.3333333333333333},)"
Li2N4P2,1.9912260756924949,"{'Li': 1.0, 'N': -3.0, 'P': 5.0}"
Au1In1Zr1,1.662757831681574,[]
Ag3Ge3Yb3,1.4771212547196624,[]
C2Ge2Ti4,2.0170333392987803,[]
N2Sr2Zn1,1.5440680443502757,"({'N': -3.0, 'Sr': 2.0, 'Zn': 2.0},)"
F6Rh1Sr1,1.3979400086720375,"({'F': -1.0, 'Rh': 4.0, 'Sr': 2.0},)"
La4O12Rh4,1.7634279935629371,"{'La': 3.0, 'O': -2.0, 'Rh': 3.0}"
As2Ba2Cu2,1.5185139398778875,"({'As': -3.0, 'Ba': 2.0, 'Cu': 1.0},)"
As1Ca3Cl3,1.380211241711606,"({'As': -3.0, 'Ca': 2.0, 'Cl': -1.0},)"
Pd4Sn4Yb4,1.4064566783214278,[]
F12Na4Zn4,1.505149978319906,"({'F': -1.0, 'Na': 1.0, 'Zn': 2.0},)"
Cr2Si2Te6,0.9542425094393248,"{'Cr': 2.0, 'Si': 4.0, 'Te': -2.0}"
As2Mg2O7,1.6812412373755872,"({'As': 5.0, 'Mg': 2.0, 'O': -2.0},)"
Ge4Nd2Ni2,1.6901960800285136,[]
C1Fe2Si2Sm2,1.8573324964312683,"{'C': -4.0, 'Fe': 3.0, 'Si': -4.0, 'Sm': 3.0}"
Li56Mn8N32,1.8388490907372552,"{'Li': 1.0, 'Mn': 5.0, 'N': -3.0}"
Cs2F6Mg1Na1,1.2552725051033058,[]
Cl6In1Rb2Tl1,0.9030899869919436,"{'Cl': -1.0, 'In': 3.0, 'Rb': 1.0, 'Tl': 1.0}"
F6Na1Rb2Tl1,1.462397997898956,"({'F': -1.0, 'Na': 1.0, 'Rb': 1.0, 'Tl': 3.0},)"
F6Na1Rb2Sb1,1.2552725051033058,"({'F': -1.0, 'Na': 1.0, 'Rb': 1.0, 'Sb': 3.0},)"
N1O1Sn2Sr6,1.2552725051033058,[]
F6In1Rb2Tl1,1.146128035678238,"{'F': -1.0, 'In': 3.0, 'Rb': 1.0, 'Tl': 1.0}"
Mg12Ru8,1.7075701760979365,[]
B4Pr4S12,1.3424226808222062,"{'B': 3.0, 'Pr': 3.0, 'S': -2.0}"
F6Mn1Zn1,1.6020599913279625,"({'F': -1.0, 'Mn': 4.0, 'Zn': 2.0},)"
N22Si12Y6,1.9731278535996983,"{'N': -3.0, 'Si': 4.0, 'Y': 3.0}"
As2Fe2Rb1,1.414973347970818,"{'As': -3.0, 'Fe': 2.5, 'Rb': 1.0}"
Ir2Li1Zr1,1.6901960800285136,[]
Ba4O16S4,1.2787536009528289,"({'Ba': 2.0, 'O': -2.0, 'S': 6.0},)"
Pt4Y4,1.5440680443502757,[]
Pt4Sm4,1.4913616938342726,"({'Pt': -2.0, 'Sm': 2.0},)"
Ni2Si4Sm2,1.8325089127062364,"{'Ni': 2.0, 'Si': -2.0, 'Sm': 2.0}"
Ca2Ir4,1.7708520116421442,[]
Ag2La2Si4,1.740362689494244,"{'Ag': 1.0, 'La': 3.0, 'Si': -2.0}"
Nb1Ru2Tm1,1.869231719730976,[]
Cl2Eu2O2,1.3424226808222062,"({'Cl': -1.0, 'Eu': 3.0, 'O': -2.0},)"
As2Cu4K1,1.2787536009528289,"{'As': -3.0, 'Cu': 1.25, 'K': 1.0}"
Ge1Li2Pb1S4,1.2787536009528289,"{'Ge': 4.0, 'Li': 1.0, 'Pb': 2.0, 'S': -2.0}"
Al4Tm2,1.792391689498254,[]
F6Pd1Pt1,1.3010299956639813,"{'F': -1.0, 'Pd': 2.0, 'Pt': 4.0}"
I2La1,0.8450980400142568,"({'I': -1.0, 'La': 2.0},)"
La8O20Si4,1.6334684555795864,"({'La': 3.0, 'O': -2.0, 'Si': 4.0},)"
As1Cu3Se4,1.3424226808222062,"{'As': 5.0, 'Cu': 1.0, 'Se': -2.0}"
As2Pd2Sr2,1.4313637641589874,[]
Cu12S13Sb4,1.1139433523068367,"{'Cu': 1.0, 'S': -2.0, 'Sb': 3.5}"
Ba2Hg1,0.9542425094393248,[]
