formula,target,oxidation_states
Pd2Te2,1.9912260756924949,"({'Pd': 2.0, 'Te': -2.0},)"
Ba6N2,1.1139433523068367,[]
B2Co3Tb1,2.3201462861110542,"({'B': -3.0, 'Co': 1.0, 'Tb': 3.0},)"
Lu1Pt3,2.2648178230095364,[]
Hg4Rb2,1.0413926851582251,[]
Ga4Ho2Pd2,1.9731278535996983,[]
Ca4Pt4Sb4,1.9138138523837167,"{'Ca': 2.0, 'Pt': -2.0, 'Sb': 0.0}"
Pd6Si3,2.255272505103306,"({'Pd': 2.0, 'Si': -4.0},)"
As2Lu2O8,2.133538908370217,"({'As': 5.0, 'Lu': 3.0, 'O': -2.0},)"
Be1Mn1Ti2,2.184691430817599,[]
Nb2S4Sn2,1.8512583487190752,"({'Nb': 2.0, 'S': -2.0, 'Sn': 2.0},)"
Ca1Mg2Sb2,1.5910646070264989,"({'Ca': 2.0, 'Mg': 2.0, 'Sb': -3.0},)"
O6Pt3Zn1,2.285557309007774,"({'O': -2.0, 'Pt': 3.3333333333333335, 'Zn': 2.0},)"
Ca1F6Ti1,1.6989700043360187,"({'Ca': 2.0, 'F': -1.0, 'Ti': 4.0},)"
Ge3Li3Pr3,1.6127838567197357,[]
Pt4Sc4Si4,2.173186268412274,"{'Pt': -2.0, 'Sc': 2.0, 'Si': 0.0}"
C1Fe2Si2Tm2,2.133538908370217,"{'C': -4.0, 'Fe': 3.0, 'Si': -4.0, 'Tm': 3.0}"
As2Pt2Sr2,1.8573324964312683,"{'As': -3.0, 'Pt': 1.0, 'Sr': 2.0}"
Li2Na2S2,1.4771212547196624,"({'Li': 1.0, 'Na': 1.0, 'S': -2.0},)"
B4Ca2Rh4,2.1702617153949566,[]
Cu4Mg4P4,1.9731278535996983,"({'Cu': 1.0, 'Mg': 2.0, 'P': -3.0},)"
B2C1La1Ni2,1.9084850188786493,"{'B': 0.0, 'C': -4.0, 'La': 2.0, 'Ni': 1.0}"
Cd6Er2,1.740362689494244,[]
Ge4Ni2Sm2,2.008600171761917,[]
Al4Yb2,1.740362689494244,[]
Ba2Mn1O6U1,2.0170333392987803,"{'Ba': 2.0, 'Mn': 2.0, 'O': -2.0, 'U': 6.0}"
Fe1Te2Zr6,2.0569048513364727,[]
B2Cs2Na4O6,1.6720978579357175,"({'B': 3.0, 'Cs': 1.0, 'Na': 1.0, 'O': -2.0},)"
Be2Hf2Si2,2.1702617153949566,[]
As4Co4Hf4,2.257678574869185,[]
O1P2Sr4,1.8260748027008264,"({'O': -2.0, 'P': -3.0, 'Sr': 2.0},)"
Cd1Na4P2,1.2041199826559248,"({'Cd': 2.0, 'Na': 1.0, 'P': -3.0},)"
K2P2Zn2,1.5563025007672873,"({'K': 1.0, 'P': -3.0, 'Zn': 2.0},)"
Co2Ga4Sm2,1.934498451243568,[]
Ca2Ga2,1.5440680443502757,[]
Au2Cd1Sm1,1.9030899869919435,[]
Co2Eu1Si2,1.9731278535996983,"{'Co': 2.5, 'Eu': 3.0, 'Si': -4.0}"
Ca3Pb3Pd3,1.7558748556724917,[]
Cu2K2Se2,1.5314789170422551,"({'Cu': 1.0, 'K': 1.0, 'Se': -2.0},)"
Cu2Na2Se2,1.6127838567197357,"({'Cu': 1.0, 'Na': 1.0, 'Se': -2.0},)"
K1O2Sc1,1.9912260756924949,"({'K': 1.0, 'O': -2.0, 'Sc': 3.0},)"
O2Rb1Tl1,2.060697840353612,"({'O': -2.0, 'Rb': 1.0, 'Tl': 3.0},)"
Np2O2S2,1.99563519459755,"{'Np': 4.0, 'O': -2.0, 'S': -2.0}"
Ba1Pt5,2.1702617153949566,"({'Ba': 2.0, 'Pt': -0.4},)"
Au1K3O1,1.2787536009528289,"({'Au': -1.0, 'K': 1.0, 'O': -2.0},)"
As2Hg2K2,1.414973347970818,"{'As': -3.0, 'Hg': 2.0, 'K': 1.0}"
