formula,target,oxidation_states
Hf2Si2Te2,63.59383333333302,[]
As2O6Sb2,66.30685000000014,"{'As': 1.0, 'O': -2.0, 'Sb': 5.0}"
Co1I2,85.1118666666666,"({'Co': 2.0, 'I': -1.0},)"
Mn2Se2,81.84250000000004,"({'Mn': 2.0, 'Se': -2.0},)"
Bi4Br12,81.01406249999998,"{'Bi': 3.0, 'Br': -1.0}"
Bi2F2O2,87.05199999999991,"({'Bi': 3.0, 'F': -1.0, 'O': -2.0},)"
Ni1O4Te1,68.94950000000044,"{'Ni': 4.0, 'O': -2.0, 'Te': 4.0}"
O3Te1,49.33549999999976,"({'O': -2.0, 'Te': 6.0},)"
P1Te2Zr2,66.03520000000086,"{'P': -3.0, 'Te': -2.0, 'Zr': 3.5}"
O8Te4,90.8587500000002,"({'O': -2.0, 'Te': 4.0},)"
Cl2H2Lu2,36.14849999999991,[]
Cl2Hf2N2,35.227500000000404,"({'Cl': -1.0, 'Hf': 4.0, 'N': -3.0},)"
I4O4Sc4,39.206666666665946,"({'I': -1.0, 'O': -2.0, 'Sc': 3.0},)"
O4W1Zn1,140.2239999999999,"({'O': -2.0, 'W': 6.0, 'Zn': 2.0},)"
Cl2Zn1,77.91661666666666,"({'Cl': -1.0, 'Zn': 2.0},)"
B2Ba1Se6,591.1875555555561,"{'B': -3.0, 'Ba': 2.0, 'Se': 0.6666666666666666}"
Al2O11Si4,25.860000000000657,"({'Al': 3.0, 'O': -2.0, 'Si': 4.0},)"
Co1O4Te1,70.15683333333334,"{'Co': 4.0, 'O': -2.0, 'Te': 4.0}"
Sb1,571.6572,[]
As4Se6,132.96399999999986,"{'As': 3.0, 'Se': -2.0}"
As8Si4,78.52966666666683,"{'As': -2.0, 'Si': 4.0}"
Ca2Cl2F2,75.81966666666685,"({'Ca': 2.0, 'Cl': -1.0, 'F': -1.0},)"
Ni2P4,464.3363333333329,"{'Ni': 2.0, 'P': -1.0}"
Mg2O4Si1,1604.0382857142856,"({'Mg': 2.0, 'O': -2.0, 'Si': 4.0},)"
Hf2S6,55.68812499999965,"({'Hf': 4.0, 'S': -1.3333333333333333},)"
Br2Co1O2Sr2,46.238428571428784,"({'Br': -1.0, 'Co': 2.0, 'O': -2.0, 'Sr': 2.0},)"
Au1C1N1,135.73166666666657,"{'Au': -1.0, 'C': 4.0, 'N': -3.0}"
H2Mg2O3,33.91985714285717,"({'H': 1.0, 'Mg': 2.0, 'O': -2.0},)"
I2Nb2O4,35.45787500000053,"{'I': -1.0, 'Nb': 5.0, 'O': -2.0}"
I8Te8Th4,95.85414999999963,"{'I': -1.0, 'Te': -1.0, 'Th': 4.0}"
S2Sn1,82.80736666666667,"{'S': -2.0, 'Sn': 4.0}"
Ag1P2Se6Tm1,77.55054999999976,"{'Ag': 1.0, 'P': 4.0, 'Se': -2.0, 'Tm': 3.0}"
N6S5,82.7905909090907,"{'N': 1.6666666666666667, 'S': -2.0}"
P8S6,104.6412142857145,"{'P': 1.5, 'S': -2.0}"
O2Pb2,85.90374999999996,"({'O': -2.0, 'Pb': 2.0},)"
K2Mn2P2,47.49999999999986,"({'K': 1.0, 'Mn': 2.0, 'P': -3.0},)"
Se2Ti1,94.4846666666672,"{'Se': -2.0, 'Ti': 4.0}"
Te4W2,84.89891666666605,"{'Te': -2.0, 'W': 4.0}"
B1Cl3,108.17792500000012,"({'B': 3.0, 'Cl': -1.0},)"
B1Br3,125.35922499999997,"{'B': 3.0, 'Br': -1.0}"
Br6Mo2,95.03100000000008,"({'Br': -1.0, 'Mo': 3.0},)"
Pd2Se4,166.23558333333358,"{'Pd': 4.0, 'Se': -2.0}"
Br6P2,109.67060000000006,"{'Br': -1.0, 'P': 3.0}"
Cl2Zr2,52.18724999999935,[]
S6Sb4,138.26554999999985,"{'S': -2.0, 'Sb': 3.0}"
Cl6Fe1Hf1,71.8506875,"({'Cl': -1.0, 'Fe': 2.0, 'Hf': 4.0},)"
Cl4I4Ta2,142.13110000000032,"({'Cl': -1.0, 'I': -1.0, 'Ta': 4.0},)"
I2Nb4Te12,107.82236111111088,"{'I': -1.0, 'Nb': 5.0, 'Te': -1.5}"
P8Se8,96.67024999999984,"{'P': 2.0, 'Se': -2.0}"
Fe2P2Se6,74.87250000000013,"{'Fe': 2.0, 'P': 4.0, 'Se': -2.0}"
Ga1I7Te1,94.03814666666666,"{'Ga': 3.0, 'I': -1.0, 'Te': 4.0}"
Hf1Te2,108.003333333333,"({'Hf': 4.0, 'Te': -2.0},)"
Cr2Si2Te6,87.05149999999983,"{'Cr': 2.0, 'Si': 4.0, 'Te': -2.0}"
Re4Se8,75.10066666666759,"{'Re': 4.0, 'Se': -2.0}"
Cr2Se2,75.92125000000037,"({'Cr': 2.0, 'Se': -2.0},)"
P8S8,117.8366875000001,"{'P': 2.0, 'S': -2.0}"
Ag1P2Se6V1,74.69649999999993,"{'Ag': 1.0, 'P': 4.0, 'Se': -2.0, 'V': 3.0}"
Se2V1,83.77800000000012,"{'Se': -2.0, 'V': 4.0}"
Pt1S2,95.49350000000034,"{'Pt': 4.0, 'S': -2.0}"
Pt4S6Tl2,106.04866666666668,"{'Pt': 2.5, 'S': -2.0, 'Tl': 1.0}"
Sm2Te6,57.23700000000021,"{'Sm': 3.0, 'Te': -1.0}"
P8Si4,70.1007916666665,"{'P': 2.0, 'Si': -4.0}"
Br2Fe1,74.28426666666654,"({'Br': -1.0, 'Fe': 2.0},)"
F2Hg2,585.9625474999998,"({'F': -1.0, 'Hg': 1.0},)"
I4P2,96.31970000000014,"{'I': -1.0, 'P': 2.0}"
Cl2N2Ti2,39.39566666666661,"{'Cl': -1.0, 'N': -3.0, 'Ti': 4.0}"
Br2Mn1,74.12623333333323,"({'Br': -1.0, 'Mn': 2.0},)"
S6Ti2,54.492749999999646,"{'S': -1.3333333333333333, 'Ti': 4.0}"
Pd6Rb4S8,95.97411111111144,"({'Pd': 2.0, 'Rb': 1.0, 'S': -2.0},)"
Ba4O1Sb2,232.85200000000032,"({'Ba': 2.0, 'O': -2.0, 'Sb': -3.0},)"
Br2O2Sm2,56.60783333333352,"({'Br': -1.0, 'O': -2.0, 'Sm': 3.0},)"
Cl2Co1,67.44563333333353,"({'Cl': -1.0, 'Co': 2.0},)"
Cl2F2Pb2,92.2154999999998,"({'Cl': -1.0, 'F': -1.0, 'Pb': 2.0},)"
I2N2Th2,54.002833333332674,"({'I': -1.0, 'N': -3.0, 'Th': 4.0},)"
As2Hg1K4,107.36085714285711,"{'As': -3.0, 'Hg': 2.0, 'K': 1.0}"
Br2Lu2S2,58.96249999999981,"({'Br': -1.0, 'Lu': 3.0, 'S': -2.0},)"
Ba2F2I2,83.85783333333308,"({'Ba': 2.0, 'F': -1.0, 'I': -1.0},)"
Cl2F2,57.81717500000007,[]
Bi1I1Te1,103.58033333333329,"{'Bi': 3.0, 'I': -1.0, 'Te': -2.0}"
Ga2,250.49415,[]
Se2,147.1578499999999,[]
H2O6P2Zr1,48.15290909091008,"{'H': 0.0, 'O': -2.0, 'P': 5.0, 'Zr': 2.0}"
Cl2Fe2O5Sr3,40.11516666666726,"({'Cl': -1.0, 'Fe': 3.0, 'O': -2.0, 'Sr': 2.0},)"
C1Cl1N1,110.7191666666667,"{'C': 4.0, 'Cl': -1.0, 'N': -3.0}"
Pd1Se6Ta2,88.29988888888883,"{'Pd': 2.0, 'Se': -2.0, 'Ta': 5.0}"
Br4Pd2,84.39700000000005,"({'Br': -1.0, 'Pd': 2.0},)"
Br8Nb3,85.96054545454511,"({'Br': -1.0, 'Nb': 2.6666666666666665},)"
P6Si6,65.8967499999994,"{'P': 4.0, 'Si': -4.0}"
Pb4S4,187.5363250000001,"({'Pb': 2.0, 'S': -2.0},)"
Cu1In1P2Se6,79.03385000000007,"{'Cu': 1.0, 'In': 1.0, 'P': 5.0, 'Se': -2.0}"
Al2Fe1S4,71.668857142857,"({'Al': 3.0, 'Fe': 2.0, 'S': -2.0},)"
Hf2Te6,74.00262500000032,"({'Hf': 4.0, 'Te': -1.3333333333333333},)"
C1Cl2Lu2,42.09559999999968,"({'C': -4.0, 'Cl': -1.0, 'Lu': 3.0},)"
O6Pb4,100.33080000000004,"({'O': -2.0, 'Pb': 3.0},)"
Al2H6O6,77.59771428571405,"({'Al': 3.0, 'H': 1.0, 'O': -2.0},)"
Cd1Ga1In1S4,37.069928571428655,"{'Cd': 2.0, 'Ga': 3.0, 'In': 3.0, 'S': -2.0}"
Bi2Pb1Te4,55.666628571428674,"{'Bi': 3.0, 'Pb': 2.0, 'Te': -2.0}"
Bi4S8,173.80375000000026,"{'Bi': 4.0, 'S': -2.0}"
Ge3O9Sb2,154.10764285714328,"{'Ge': 4.0, 'O': -2.0, 'Sb': 3.0}"
Cl2H2Sc2,34.81083333333412,"({'Cl': -1.0, 'H': -1.0, 'Sc': 2.0},)"
