formula,target,oxidation_states
TiNbO4,162.33477371964642,"{'Ti': 4.0, 'Nb': 4.0, 'O': -2.0}"
LiMg2Rh,66.70699045111473,[]
VSi2,174.49814669318872,[]
Pr2TlAg,51.0,[]
Ca3Cd2,28.66667877233309,[]
YMgZn2,58.61188425825255,[]
Cu3AsS4,72.98846961114515,"{'Cu': 1.0, 'As': 5.0, 'S': -2.0}"
NbTeI3,5.889965244712743,"{'Nb': 5.0, 'Te': -2.0, 'I': -1.0}"
CuBIr,191.0,[]
Na4CoO3,46.21178322916478,"({'Na': 1.0, 'Co': 2.0, 'O': -2.0},)"
RbTaO3,68.7602651322115,"({'Rb': 1.0, 'Ta': 5.0, 'O': -2.0},)"
H2C,43.93085269658973,"{'H': 1.0, 'C': -2.0}"
Sc3RuC4,180.18183186933652,"{'Sc': 3.0, 'Ru': 5.0, 'C': -3.5}"
Sc2Pt,90.73799965667294,[]
ScZn,75.1904306307307,[]
V2H3O5,86.0,"{'V': 3.5, 'H': 1.0, 'O': -2.0}"
Ti3Bi,101.5153779183352,[]
GaPt3,216.6240531966596,"({'Ga': 2.0, 'Pt': -0.6666666666666666},)"
Na(Cu3O4)2,119.18333176797552,"({'Na': 1.0, 'Cu': 2.5, 'O': -2.0},)"
K(Cu2As)2,52.24311652510061,"{'K': 1.0, 'Cu': 1.25, 'As': -3.0}"
K2CN2,30.23189839600861,"{'K': 1.0, 'C': 4.0, 'N': -3.0}"
Y2B3C2,149.41168853329856,[]
LiFeF5,37.15780604620701,[]
CaInPd,60.60752284063217,[]
DyTe2,59.0,"({'Dy': 3.0, 'Te': -1.5},)"
TiBe2Ir,190.62607895990797,[]
TiGaCo2,184.9154002246213,[]
VBO4,20.30491719069096,"({'V': 5.0, 'B': 3.0, 'O': -2.0},)"
B2W,321.38844578422686,"({'B': -3.0, 'W': 6.0},)"
CaSiPt,84.15239691641756,"({'Ca': 2.0, 'Si': -4.0, 'Pt': 2.0},)"
Li3BrO,36.0,"({'Li': 1.0, 'Br': -1.0, 'O': -2.0},)"
YNi3,131.9481619004698,[]
Ti2C,138.9378923332192,"({'Ti': 2.0, 'C': -4.0},)"
MgP4,57.76690961039338,"({'Mg': 2.0, 'P': -0.5},)"
InAgO2,109.00342680959945,"{'In': 3.0, 'Ag': 1.0, 'O': -2.0}"
Y3Al2,58.45904524573032,[]
Pd3S,113.9411084869138,[]
ZrSnPd2,192.0,[]
BPd2,179.0,[]
TiRe2W,285.04313124776866,[]
HgBr,11.52284701379138,"({'Hg': 1.0, 'Br': -1.0},)"
MnGaPt,122.43163083455067,[]
Ta2Co,221.749822143414,[]
MnCu2SnSe4,53.60673431087907,"{'Mn': 2.0, 'Cu': 1.0, 'Sn': 4.0, 'Se': -2.0}"
RbGe2N3,128.64066905499965,"{'Rb': 1.0, 'Ge': 4.0, 'N': -3.0}"
YAlSi,88.44270169464546,[]
BaFe4O7,117.55031879948235,"({'Ba': 2.0, 'Fe': 3.0, 'O': -2.0},)"
LiFeP,80.32885250048186,"({'Li': 1.0, 'Fe': 2.0, 'P': -3.0},)"
Pb(ClO2)2,13.47756253398166,[]
MnAlOs2,257.9828883644425,[]
Na2NiO3,71.75681229101049,"({'Na': 1.0, 'Ni': 4.0, 'O': -2.0},)"
Rb3CuO2,24.35656003792905,"({'Rb': 1.0, 'Cu': 1.0, 'O': -2.0},)"
Cd(InTe2)2,21.11336554928429,"{'Cd': 2.0, 'In': 3.0, 'Te': -2.0}"
TaRu,252.4028754884431,[]
InCuPt2,172.11603909862262,"{'In': 3.0, 'Cu': 1.0, 'Pt': -2.0}"
LiCaSi2,49.0,[]
MoSe2,17.604565202513196,"{'Mo': 4.0, 'Se': -2.0}"
Li6IrN4,82.0,"{'Li': 1.0, 'Ir': 4.0, 'N': -2.5}"
NiPtF6,40.732536474386286,"{'Ni': 2.0, 'Pt': 4.0, 'F': -1.0}"
TiFeO4,145.84592267884838,[]
V2CuO6,46.283112617022105,"{'V': 5.0, 'Cu': 2.0, 'O': -2.0}"
YScO3,151.56978408870498,"({'Y': 3.0, 'Sc': 3.0, 'O': -2.0},)"
Na2CO3,43.80099427936465,"({'Na': 1.0, 'C': 4.0, 'O': -2.0},)"
Ta3Sb,185.2386358350573,[]
AlOs,236.0,[]
BaPd2,70.84626504254277,[]
CdHg2,28.212087104492067,[]
