formula,target,oxidation_states
LiMg6Co,0.1412902479687501,[]
SmCoAsO,0.219635342395832,"{'Sm': 3.0, 'Co': 2.0, 'As': -3.0, 'O': -2.0}"
BaSm2CoO5,0.0,"{'Ba': 2.0, 'Sm': 3.0, 'Co': 2.0, 'O': -2.0}"
CeSi2Rh,0.0,"({'Ce': 4.0, 'Si': -4.0, 'Rh': 4.0},)"
Pm5Mg,0.055010525000001,[]
MgTi(PO3)4,0.1375943213478878,"{'Mg': 2.0, 'Ti': 2.0, 'P': 5.0, 'O': -2.0}"
Ca(LaI4)2,0.0948918722727261,"({'Ca': 2.0, 'La': 3.0, 'I': -1.0},)"
Sr3LaCl9,0.0099155788461517,"({'Sr': 2.0, 'La': 3.0, 'Cl': -1.0},)"
TlAgTe2,0.1221254606249986,"{'Tl': 3.0, 'Ag': 1.0, 'Te': -2.0}"
CsLaMg14O16,0.3426285708072942,"({'Cs': 1.0, 'La': 3.0, 'Mg': 2.0, 'O': -2.0},)"
NaLaH2S2O9,0.0,"({'Na': 1.0, 'La': 3.0, 'H': 1.0, 'S': 6.0, 'O': -2.0},)"
Ti4(PO5)3,0.005016942718095,"{'Ti': 3.75, 'P': 5.0, 'O': -2.0}"
YbGaNi,0.0,[]
CsGeBiS4,0.0,"{'Cs': 1.0, 'Ge': 4.0, 'Bi': 3.0, 'S': -2.0}"
Cu2P2O7,0.0,"{'Cu': 2.0, 'P': 5.0, 'O': -2.0}"
Li4Mn(PO4)2,0.0091640650000082,"{'Li': 1.0, 'Mn': 2.0, 'P': 5.0, 'O': -2.0}"
Na2H4Pd,0.0,"({'Na': 1.0, 'H': -1.0, 'Pd': 2.0},)"
Ti2Te2P,0.0,"{'Ti': 3.5, 'Te': -2.0, 'P': -3.0}"
La2Zn2O5,0.093104124444447,"({'La': 3.0, 'Zn': 2.0, 'O': -2.0},)"
CdCuPd2,2.011867562499999,[]
NaAg3O2,0.0,"({'Na': 1.0, 'Ag': 1.0, 'O': -2.0},)"
ZnCdPt2,0.0,"({'Zn': 2.0, 'Cd': 2.0, 'Pt': -2.0},)"
Ge2Pt3,0.0,"({'Ge': 3.0, 'Pt': -2.0},)"
Yb3(Sb7Te12)2,0.9661559753658544,"{'Yb': 3.0, 'Sb': 2.7857142857142856, 'Te': -2.0}"
BaMgCrF7,0.0106819920000003,"({'Ba': 2.0, 'Mg': 2.0, 'Cr': 3.0, 'F': -1.0},)"
ZnC2S2(OF)6,0.1770235823529375,"{'Zn': 2.0, 'C': 4.0, 'S': 4.0, 'O': -2.0, 'F': -1.0}"
BaV4O9,0.0152977424107181,"({'Ba': 2.0, 'V': 4.0, 'O': -2.0},)"
Rb2CoF6,0.0,"({'Rb': 1.0, 'Co': 4.0, 'F': -1.0},)"
CeMg14Al,0.0662084670312503,[]
MgFe4O9,0.2953446616071353,[]
Ba3CrS5,0.0824679511111119,"{'Ba': 2.0, 'Cr': 4.0, 'S': -2.0}"
PrCl3,0.0,"({'Pr': 3.0, 'Cl': -1.0},)"
AlPt3,0.0,[]
HfAlPd2,0.0,[]
Na4(WO3)9,0.0088370080568189,"({'Na': 1.0, 'W': 5.555555555555555, 'O': -2.0},)"
TeIrO6,0.0360178254687495,[]
Fe3Co3(SbO8)2,0.1129870474739584,[]
