formula,target,oxidation_states
NbB2,0.28,[]
ErF3,3.2881472706725674,"({'Er': 3.0, 'F': -1.0},)"
ZrBrN,1.4238042967409648,"{'Zr': 4.0, 'Br': -1.0, 'N': -3.0}"
ErTlTe2,1.08,"({'Er': 3.0, 'Tl': 1.0, 'Te': -2.0},)"
Ti2MnIr,0.2578539999232134,[]
CdIn2O4,0.5956139411434833,"({'Cd': 2.0, 'In': 3.0, 'O': -2.0},)"
NbF4,13.765466131830516,"({'Nb': 4.0, 'F': -1.0},)"
MnCo2Si,0.5897247108709465,"({'Mn': 2.0, 'Co': 1.0, 'Si': -4.0},)"
CoBr2,72.50498281748753,"({'Co': 2.0, 'Br': -1.0},)"
Zr4In5Co2,0.1590224901177768,[]
Ba(AlTe2)2,0.4075391933833145,"({'Ba': 2.0, 'Al': 3.0, 'Te': -2.0},)"
ScHCl,51.56174551371194,"({'Sc': 2.0, 'H': -1.0, 'Cl': -1.0},)"
ZnBiO3,0.1622727917988662,[]
SnCl4,1.026435832791308,"({'Sn': 4.0, 'Cl': -1.0},)"
LiBePt2,0.0894841138151791,[]
Ba(LaSe2)2,-1.84,"{'Ba': 2.0, 'La': 3.0, 'Se': -2.0}"
CoCu2O3,1.5313293549852958,"{'Co': 2.0, 'Cu': 2.0, 'O': -2.0}"
PmCdHg2,1.22,[]
Ba5Bi3,0.5367714046428533,[]
AlCrO4,1.2,"({'Al': 3.0, 'Cr': 5.0, 'O': -2.0},)"
Ca4Mg4Fe3H22,0.0060618727610624,"({'Ca': 2.0, 'Mg': 2.0, 'Fe': 2.0, 'H': -1.0},)"
TlPd2Se3,3.529349956821564,"({'Tl': 1.0, 'Pd': 2.0, 'Se': -1.6666666666666667},)"
MgInCu4,1.8302887942755373,[]
NbNiB,0.3309582120414838,"({'Nb': 2.0, 'Ni': 1.0, 'B': -3.0},)"
SmPd3,0.4,[]
Zr(VGa2)2,0.37,[]
Rb2O,12.518363668935825,"({'Rb': 1.0, 'O': -2.0},)"
GePd,2.0564657807892406,[]
Y2AlZn,0.9823598228020254,[]
NbInS2,3.8760768885316175,"{'Nb': 3.0, 'In': 1.0, 'S': -2.0}"
HfN,0.4967713043530413,[]
Ba2Cd,0.1277590857898474,[]
EuCl3,0.4735746792001638,"({'Eu': 3.0, 'Cl': -1.0},)"
NdFeO3,0.1300516915665079,"({'Nd': 3.0, 'Fe': 3.0, 'O': -2.0},)"
KGaSb4,0.5552107081583184,"{'K': 1.0, 'Ga': 3.0, 'Sb': -1.0}"
CoPt,0.5505696138487357,"({'Co': 2.0, 'Pt': -2.0},)"
TmBi,1.27,[]
CdWO4,0.7778764468181381,"({'Cd': 2.0, 'W': 6.0, 'O': -2.0},)"
MnSbIr,0.1093047082728544,[]
Sc2CuRu,0.2498772619208598,[]
Si5Pt12,1.4351252008132729,"{'Si': 4.0, 'Pt': -1.6666666666666667}"
Fe2O3F,1.3856764180278365,[]
HfAs2,0.1683177849713697,"({'Hf': 4.0, 'As': -2.0},)"
PaZnRu2,0.43,[]
PrNdTl2,3.21,[]
Cu3Pt,1.5148550245810657,[]
CeNi,1.0077728233612149,[]
SrMgTl2,0.1758297235886541,[]
In2HgTe4,0.7851554731661032,"{'In': 3.0, 'Hg': 2.0, 'Te': -2.0}"
HfIr3,0.8416466917156633,[]
SmGa5Co,0.07,[]
Ca(AlSi)2,0.2672488719466344,"({'Ca': 2.0, 'Al': 3.0, 'Si': -4.0},)"
Li4WO5,3.732173805395382,"({'Li': 1.0, 'W': 6.0, 'O': -2.0},)"
Y2O3,0.102477113483717,"({'Y': 3.0, 'O': -2.0},)"
Li3PS4,0.1928480278421487,"{'Li': 1.0, 'P': 5.0, 'S': -2.0}"
MnSn2,0.3499440415223933,[]
CuPt,0.8995953949173856,"({'Cu': 2.0, 'Pt': -2.0},)"
CsVI3,8.868483334164209,"({'Cs': 1.0, 'V': 2.0, 'I': -1.0},)"
Y2FeB,127.84,[]
ThSe,38.3,[]
Zr3As2,0.480275933170553,"({'Zr': 2.0, 'As': -3.0},)"
V3(O2F)2,0.35,"({'V': 3.3333333333333335, 'O': -2.0, 'F': -1.0},)"
AgBr,4.68,"({'Ag': 1.0, 'Br': -1.0},)"
ZnSbF6,2.05,[]
Mo(CO)6,0.35,"{'Mo': 6.0, 'C': 1.0, 'O': -2.0}"
SrH2,0.0853339393385566,"({'Sr': 2.0, 'H': -1.0},)"
ScRh3,0.953824451550294,[]
ZnCN2,1.2856239504191214,"{'Zn': 2.0, 'C': 4.0, 'N': -3.0}"
Nb3Pt,0.6808609525138047,[]
Ho3TlC,56.92,[]
Y2NiIr,0.0271463056534182,[]
Ba2YBiO6,0.19,"({'Ba': 2.0, 'Y': 3.0, 'Bi': 5.0, 'O': -2.0},)"
SmLuIn2,15.08,[]
Cu2Sb,0.1349800880491756,"{'Cu': 1.5, 'Sb': -3.0}"
Ag2MoO4,11.655438102415536,"{'Ag': 1.0, 'Mo': 6.0, 'O': -2.0}"
CsTiBr3,0.2329020247090643,"({'Cs': 1.0, 'Ti': 2.0, 'Br': -1.0},)"
SbCl5,2.830688923033584,"({'Sb': 5.0, 'Cl': -1.0},)"
HfSnRu2,0.0025324667407407,[]
Li2CdSb,4.008095865171915,[]
Li2InPd,6.3548406331545,[]
Sr4Fe4O11,0.3214967479925725,[]
Hf3Si2,0.4219698095439117,[]
CaCd2,1.2297722575274292,[]
Ca(SiNi)2,0.2454526406387361,"({'Ca': 2.0, 'Si': -4.0, 'Ni': 3.0},)"
Ta3Sb,0.5674998287105435,[]
Sc2BeRu,0.561713903416309,[]
Si3W,-30.46355392021753,"({'Si': -1.3333333333333333, 'W': 4.0},)"
Ti2MnRh,0.5246603467524693,[]
Al12W,0.0006627154550109,[]
HfPt,1.298573585440753,[]
NbRhO4,1.927369368266663,"{'Nb': 5.0, 'Rh': 3.0, 'O': -2.0}"
Mn2AlRe,0.0638109392706081,[]
Li2GePbS4,0.6279768062205378,"{'Li': 1.0, 'Ge': 4.0, 'Pb': 2.0, 'S': -2.0}"
Eu(MnSb)2,0.7993421278638504,"({'Eu': 2.0, 'Mn': 2.0, 'Sb': -3.0},)"
YPPt,0.3008823900260573,"({'Y': 3.0, 'P': -1.0, 'Pt': -2.0},)"
Sm3I,29.16,[]
ScNbRu2,0.203129176981669,[]
CrGaFe2,5.806322050756742,[]
LiCa2Ir,0.2091040173070295,[]
Ba(NO2)2,0.2576965843661263,"({'Ba': 2.0, 'N': 3.0, 'O': -2.0},)"
Be22W,0.0091697836374411,[]
W(OF)2,-42.14476624755572,"({'W': 6.0, 'O': -2.0, 'F': -1.0},)"
Be2Fe,0.0158837797595206,[]
LiBe,28.38851483445169,[]
Rb2Cu(BrCl)2,0.7377266325411975,"({'Rb': 1.0, 'Cu': 2.0, 'Br': -1.0, 'Cl': -1.0},)"
CrIrRu,-722.11,[]
Nb3In,10.4002252432238,[]
RbI,1.4431002807149182,"({'Rb': 1.0, 'I': -1.0},)"
ZrGaNi2,0.09,[]
NbZnRu2,0.6418009740977562,[]
LiBePd2,0.2078486119762859,[]
CsInBr3,0.17,"({'Cs': 1.0, 'In': 2.0, 'Br': -1.0},)"
Y5Sn3,0.074498709033774,[]
Zr2Fe3Ge,0.2003304900507396,[]
Sc3InB,0.0556635068116344,[]
LiAlAg2,4.3633412995814105,[]
PuF3,2.2048972443812573,"({'Pu': 3.0, 'F': -1.0},)"
NbS,1.0728899718952931,"({'Nb': 2.0, 'S': -2.0},)"
Mg3Hg,2.3283504369444987,[]
ZnSiN2,-1147.703667839288,"{'Zn': 2.0, 'Si': 4.0, 'N': -3.0}"
YbTe,0.7330917923233073,"({'Yb': 2.0, 'Te': -2.0},)"
ZnAg3,6.361854519015385,[]
TePdI2,57.97895961565341,"({'Te': -2.0, 'Pd': 4.0, 'I': -1.0},)"
Sc2V2O7,0.5068763638796892,"{'Sc': 3.0, 'V': 4.0, 'O': -2.0}"
Mg2Ge,0.0029411083566293,[]
LaCuSe2,0.3543635640438207,"{'La': 3.0, 'Cu': 1.0, 'Se': -2.0}"
MnPtF6,4.161570406777706,"{'Mn': 2.0, 'Pt': 4.0, 'F': -1.0}"
Sc3SnC,0.04,[]
ScInAg2,-91.02301751630834,[]
PtI2,6.230522257543512,"({'Pt': 2.0, 'I': -1.0},)"
In2O3,0.001173527391912,"({'In': 3.0, 'O': -2.0},)"
RbSe,0.1712788251618455,"({'Rb': 1.0, 'Se': -1.0},)"
Si3Pt,-6.9,"({'Si': -1.3333333333333333, 'Pt': 4.0},)"
DyNiBi,0.2,[]
CoSe2,0.108228444209729,"{'Co': 4.0, 'Se': -2.0}"
WOF4,11.551224454683284,"({'W': 6.0, 'O': -2.0, 'F': -1.0},)"
TiTlPS5,6.506816740405768,"{'Ti': 4.0, 'Tl': 1.0, 'P': 5.0, 'S': -2.0}"
In3Pd2,0.156202665386834,[]
LiGa2Pt,12.600801422348129,[]
TiBeRh2,0.0209741201707265,[]
NiSeO4,0.4891388994969406,"{'Ni': 2.0, 'Se': 6.0, 'O': -2.0}"
LaBr,26.970794811594445,[]
Hf3ZnN,0.1723323122520339,[]
LiAuI4,1.7289756723566878,"({'Li': 1.0, 'Au': 3.0, 'I': -1.0},)"
RbCu3S2,1.2390368013565016,"({'Rb': 1.0, 'Cu': 1.0, 'S': -2.0},)"
Be5Pd,0.01,[]
Be2Cr,0.0227471886117545,[]
Sc2O3,0.02,"({'Sc': 3.0, 'O': -2.0},)"
KCuSe,1.0467538237429048,"({'K': 1.0, 'Cu': 1.0, 'Se': -2.0},)"
Mg3H4O5,3.627461279069488,"({'Mg': 2.0, 'H': 1.0, 'O': -2.0},)"
ZrSe2,24.96457897116328,"{'Zr': 4.0, 'Se': -2.0}"
AlClO,58.32270761622488,"({'Al': 3.0, 'Cl': -1.0, 'O': -2.0},)"
Ca(ZnN)2,0.1954734374293832,"({'Ca': 2.0, 'Zn': 2.0, 'N': -3.0},)"
NbAs2,0.2731576313845512,"{'Nb': 5.0, 'As': -2.5}"
CrSb,0.7725725870691385,"{'Cr': 3.0, 'Sb': -3.0}"
LiCaSi2,0.58,[]
CrF3,3.2628177047592235,"({'Cr': 3.0, 'F': -1.0},)"
ScAlNi2,0.3028364650367941,[]
Na2CN2,4.83780680773868,"{'Na': 1.0, 'C': 4.0, 'N': -3.0}"
CsVBr3,4.8287773711537785,"({'Cs': 1.0, 'V': 2.0, 'Br': -1.0},)"
Sc2ZnIr,0.5321687296260471,[]
MnVRu2,0.8792384580282526,[]
Hf2CuIr,0.3820697220839833,[]
TbScO3,0.1571277059489535,"{'Tb': 3.0, 'Sc': 3.0, 'O': -2.0}"
Sr4Cu2O7,0.2462530759840726,"({'Sr': 2.0, 'Cu': 3.0, 'O': -2.0},)"
Cr2GeC,0.08,[]
Cs(CoS)2,0.5041154820290057,"{'Cs': 1.0, 'Co': 1.5, 'S': -2.0}"
MnSbPt,0.6509421612351911,"{'Mn': 3.0, 'Sb': -1.0, 'Pt': -2.0}"
MnInNi2,17.505394416106686,[]
Sr(CdP)2,0.07,"({'Sr': 2.0, 'Cd': 2.0, 'P': -3.0},)"
Mg2C3,1.1738683388089717,"({'Mg': 2.0, 'C': -1.3333333333333333},)"
In3Ni2,0.166616257043203,[]
Li15Si4,0.9260519649696332,[]
FeSe2,0.2755005671192903,"{'Fe': 3.0, 'Se': -1.5}"
Li9(CoO4)2,0.2359505255953023,"({'Li': 1.0, 'Co': 3.5, 'O': -2.0},)"
