formula,target,oxidation_states
LiMg6Co,2.3519763,[]
SmCoAsO,1.3703444,"{'Sm': 3.0, 'Co': 2.0, 'As': -3.0, 'O': -2.0}"
BaSm2CoO5,2.9999464,"{'Ba': 2.0, 'Sm': 3.0, 'Co': 2.0, 'O': -2.0}"
CeSi2Rh,0.2316317999999999,"({'Ce': 4.0, 'Si': -4.0, 'Rh': 4.0},)"
Pm5Mg,0.0006366,[]
MgTi(PO3)4,4.0200419,"{'Mg': 2.0, 'Ti': 2.0, 'P': 5.0, 'O': -2.0}"
Ca(LaI4)2,0.0001434,"({'Ca': 2.0, 'La': 3.0, 'I': -1.0},)"
Sr3LaCl9,-7.240000000000001e-05,"({'Sr': 2.0, 'La': 3.0, 'Cl': -1.0},)"
TlAgTe2,1.47e-05,"{'Tl': 3.0, 'Ag': 1.0, 'Te': -2.0}"
CsLaMg14O16,0.1666637,"({'Cs': 1.0, 'La': 3.0, 'Mg': 2.0, 'O': -2.0},)"
NaLaH2S2O9,0.0001065,"({'Na': 1.0, 'La': 3.0, 'H': 1.0, 'S': 6.0, 'O': -2.0},)"
Ti4(PO5)3,6.1463528,"{'Ti': 3.75, 'P': 5.0, 'O': -2.0}"
YbGaNi,-9.000000000000002e-07,[]
CsGeBiS4,0.002707,"{'Cs': 1.0, 'Ge': 4.0, 'Bi': 3.0, 'S': -2.0}"
Cu2P2O7,-0.0014747999999999,"{'Cu': 2.0, 'P': 5.0, 'O': -2.0}"
Li4Mn(PO4)2,19.9999999,"{'Li': 1.0, 'Mn': 2.0, 'P': 5.0, 'O': -2.0}"
Na2H4Pd,6.74e-05,"({'Na': 1.0, 'H': -1.0, 'Pd': 2.0},)"
Ti2Te2P,0.0007197999999999,"{'Ti': 3.5, 'Te': -2.0, 'P': -3.0}"
La2Zn2O5,-0.0004496,"({'La': 3.0, 'Zn': 2.0, 'O': -2.0},)"
CdCuPd2,0.9999999,[]
NaAg3O2,9e-06,"({'Na': 1.0, 'Ag': 1.0, 'O': -2.0},)"
