formula,target,oxidation_states
Al1Ga1N2,718.5857219979254,"{'Al': 3.0, 'Ga': 3.0, 'N': -3.0}"
Be2P4Si2,590.5857321613547,"{'Be': 2.0, 'P': 1.0, 'Si': -4.0}"
Ge4Li2N6,856.5857110404779,"{'Ge': 4.0, 'Li': 1.0, 'N': -3.0}"
Ge1O6Sr1Te1,694.5857239035686,"({'Ge': 4.0, 'O': -2.0, 'Sr': 2.0, 'Te': 6.0},)"
Ba2Li2Sb2,336.58575232941024,"({'Ba': 2.0, 'Li': 1.0, 'Sb': -3.0},)"
Mg2N2Sr1,542.5857359726408,"({'Mg': 2.0, 'N': -3.0, 'Sr': 2.0},)"
As1Ba1Li1,359.5857505031691,"({'As': -3.0, 'Ba': 2.0, 'Li': 1.0},)"
As2K2S6Sn1,369.5857497091512,"{'As': 4.0, 'K': 1.0, 'S': -2.0, 'Sn': 2.0}"
Hg2Se4Sn1,230.58576074600023,"{'Hg': 2.0, 'Se': -2.0, 'Sn': 4.0}"
Ba1O2,910.5857067527812,[]
Cs2Hg2Se6Y2,199.5857632074558,"{'Cs': 1.0, 'Hg': 2.0, 'Se': -2.0, 'Y': 3.0}"
Ni1Sb1Y1,204.58576281044685,[]
Ba2O6Ta1Y1,781.5857169956122,"({'Ba': 2.0, 'O': -2.0, 'Ta': 5.0, 'Y': 3.0},)"
Ba1Se1,109.58577035361716,"({'Ba': 2.0, 'Se': -2.0},)"
O4Pt2,703.5857231889522,"({'O': -2.0, 'Pt': 4.0},)"
Ag2Te4Y2,181.58576463668808,"({'Ag': 1.0, 'Te': -2.0, 'Y': 3.0},)"
Ba2O6Sr1Te1,695.3071651297435,"({'Ba': 2.0, 'O': -2.0, 'Sr': 2.0, 'Te': 6.0},)"
As4Pt2Rb4,276.58575709351777,"{'As': -1.0, 'Pt': 0.0, 'Rb': 1.0}"
Cd2O6Ti2,709.5857227125415,"({'Cd': 2.0, 'O': -2.0, 'Ti': 4.0},)"
Cu4O4Sr2,592.5857320025513,"({'Cu': 1.0, 'O': -2.0, 'Sr': 2.0},)"
Cd1F6Sn1,595.5857317643457,"({'Cd': 2.0, 'F': -1.0, 'Sn': 4.0},)"
Cd1F6Pd1,619.5857298587027,"({'Cd': 2.0, 'F': -1.0, 'Pd': 4.0},)"
K3Nb1O8,904.376237450921,[]
O2Rb1Y1,489.5857401809359,"({'O': -2.0, 'Rb': 1.0, 'Y': 3.0},)"
Si2,481.0857408558511,"({'Si': 0.0},)"
Ge2Li4O6,789.5857163603979,"({'Ge': 4.0, 'Li': 1.0, 'O': -2.0},)"
Be2C1,939.5857044501292,"({'Be': 2.0, 'C': -4.0},)"
Be2C2N4,1209.5856830116452,"{'Be': 2.0, 'C': 4.0, 'N': -3.0}"
Li1S2Y1,262.5857582051429,"({'Li': 1.0, 'S': -2.0, 'Y': 3.0},)"
As8Rh4,295.5857555848837,"{'As': -2.0, 'Rh': 4.0}"
Cu1Li2Sb1,396.58574756530265,"({'Cu': 1.0, 'Li': 1.0, 'Sb': -3.0},)"
Ag2K2Se2,150.58576709814366,"({'Ag': 1.0, 'K': 1.0, 'Se': -2.0},)"
Rb2Te4Y2,171.58576543070603,"({'Rb': 1.0, 'Te': -2.0, 'Y': 3.0},)"
Be1O1,1011.5856987332004,"({'Be': 2.0, 'O': -2.0},)"
Ru4Si4,471.58574161016816,"{'Ru': 2.0, 'Si': -2.0}"
Pb1Te1,95.58577146524227,"({'Pb': 2.0, 'Te': -2.0},)"
In4S4,303.58575494966937,"{'In': 2.0, 'S': -2.0}"
In2K2Te4,182.58576455728627,"{'In': 3.0, 'K': 1.0, 'Te': -2.0}"
Cs2F6Pb2,366.5857499473565,"({'Cs': 1.0, 'F': -1.0, 'Pb': 2.0},)"
Ru4S8,439.5857441510256,"{'Ru': 4.0, 'S': -2.0}"
F6Rh2,554.5857350198194,"({'F': -1.0, 'Rh': 3.0},)"
K4Te4,169.5857655895096,"({'K': 1.0, 'Te': -1.0},)"
Ca4Pb4Sr4,176.5857650336971,[]
Cu2F2Se2Sr2,311.585754314455,"({'Cu': 1.0, 'F': -1.0, 'Se': -2.0, 'Sr': 2.0},)"
Cd1In2Te4,166.585765827715,"{'Cd': 2.0, 'In': 3.0, 'Te': -2.0}"
Cu3Se4V1,349.5857512971869,"{'Cu': 1.0, 'Se': -2.0, 'V': 5.0}"
In2Na2Te4,185.5857643190809,"{'In': 3.0, 'Na': 1.0, 'Te': -2.0}"
Cl1Cs1,119.08576959930014,"({'Cl': -1.0, 'Cs': 1.0},)"
Br2Cs2F2,272.585757411125,[]
Cl2Cs1I1,263.5857581257411,[]
Br2F2Sr2,295.5857555848837,"({'Br': -1.0, 'F': -1.0, 'Sr': 2.0},)"
Ca2I1P1,289.5857560612945,"({'Ca': 2.0, 'I': -1.0, 'P': -3.0},)"
Ba2Br2F2,265.58575796693754,"({'Ba': 2.0, 'Br': -1.0, 'F': -1.0},)"
Os2P4,470.5857416895698,"{'Os': -2.0, 'P': 1.0}"
