oxidation_states
[]
"{'Cr': 2.0, 'Ge': 4.0, 'Te': -2.0}"
"({'Br': -1.0, 'In': 3.0},)"
[]
[]
"({'Br': -1.0, 'U': 4.0},)"
[]
"({'I': -1.0, 'Th': 4.0},)"
"{'Ag': 1.0, 'Cr': 5.0, 'P': 3.0, 'S': -2.0}"
"({'Bi': 1.0, 'Pt': -2.0},)"
"({'Fe': 2.0, 'I': -1.0},)"
"({'Br': -1.0, 'C': -2.0, 'Y': 3.0},)"
"{'Hg': 1.0, 'P': 5.0, 'Se': -2.0}"
"({'Br': -1.0, 'Y': 3.0},)"
"({'Br': -1.0, 'V': 2.0},)"
"({'K': 1.0, 'O': -2.0, 'Pd': 2.0},)"
"{'H': 1.0, 'Mn': 2.0, 'O': -2.0}"
[]
"{'Nb': 4.0, 'S': -2.0, 'Ti': 4.0}"
[]
"{'Pr': 3.0, 'Te': -1.0}"
"({'P': -3.0, 'Ta': 3.0},)"
"({'O': -2.0, 'Sn': 2.0},)"
"{'C': 4.0, 'S': -2.0}"
"{'S': -2.0, 'W': 4.0}"
"{'Ag': 1.0, 'In': 1.0, 'P': 5.0, 'S': -2.0}"
"({'Cl': -1.0, 'Hg': 2.0},)"
"{'I': -1.0, 'Sb': 3.0, 'Se': -2.0}"
"({'Cl': -1.0, 'Sb': 5.0},)"
"({'I': -1.0, 'Mg': 2.0},)"
"({'I': -1.0, 'Ti': 3.0},)"
"({'Al': 3.0, 'Br': -1.0},)"
"{'As': 3.0, 'Br': -1.0}"
"{'Bi': 3.0, 'Br': -1.0, 'S': -2.0}"
"{'Bi': 3.0, 'I': -1.0, 'S': -2.0}"
"{'H': 1.0, 'Si': -4.0}"
"{'P': 2.5, 'Se': -2.0}"
"({'Mn': 4.0, 'O': -2.0},)"
"({'Cr': 2.0, 'I': -1.0},)"
[]
"{'Si': 4.0, 'Te': -2.0}"
"{'Br': -1.0, 'Te': 0.5}"
"{'Cl': -1.0, 'N': 4.0, 'S': -2.0}"
"({'Bi': 1.0, 'I': -1.0},)"
"({'Br': -1.0, 'Cr': 3.0},)"
[]
"({'Ba': 2.0, 'Br': -1.0, 'Cl': -1.0},)"
"({'Br': -1.0, 'Pb': 2.0},)"
[]
"({'I': -1.0, 'Nd': 2.0},)"
"{'Ge': 4.0, 'Nb': 2.6666666666666665, 'Te': -2.0}"
"({'Cl': -1.0, 'Hf': 4.0},)"
[]
"{'I': -1.0, 'Nb': 3.0, 'Te': -2.0}"
"({'H': 0.0, 'Si': 0.0},)"
"({'Cl': -1.0, 'Nb': 2.6666666666666665},)"
"({'Br': -1.0, 'Co': 2.0},)"
"{'O': -2.0, 'Sb': 5.0, 'Tl': 1.0}"
"{'Mg': 2.0, 'P': 4.0, 'Se': -2.0}"
"{'Al': 3.0, 'Si': 0.0, 'Te': -1.0}"
"{'P': -1.0, 'Pd': 3.0, 'Se': -2.0}"
"({'Br': -1.0, 'Cr': 3.0, 'O': -2.0},)"
"({'Ni': 4.0, 'O': -2.0},)"
"{'P': 2.5, 'S': -2.0}"
"({'S': -2.0, 'Sn': 2.0, 'Tl': 1.0},)"
"({'Al': 3.0, 'Te': -1.2},)"
"{'Au': 2.0, 'Se': -2.0}"
"({'F': -1.0, 'Pb': 4.0},)"
"({'Cl': -1.0, 'Ni': 2.0},)"
"({'Cl': -1.0, 'Zr': 2.0},)"
"{'Sb': 3.0, 'Se': -2.0, 'Te': -2.0}"
"({'Cl': -1.0, 'Dy': 3.0},)"
"({'K': 1.0, 'O': -2.0, 'Tl': 1.0},)"
"({'I': -1.0, 'Mn': 2.0},)"
"({'Br': -1.0, 'Ca': 2.0, 'H': -1.0},)"
"({'Ca': 2.0, 'H': -1.0, 'I': -1.0},)"
"{'O': -2.0, 'Pb': 2.0, 'Ti': 4.0}"
"({'H': 1.0, 'Mg': 2.0, 'O': -2.0},)"
"{'Au': 1.0, 'K': 1.0, 'S': -2.0}"
"({'Cl': -1.0, 'Mn': 2.0},)"
"{'I': -1.0, 'P': 3.0}"
"({'Ge': 2.0, 'S': -2.0},)"
"({'N': 3.0, 'Na': 1.0, 'O': -2.0},)"
"{'Sb': 3.0, 'Te': -2.0}"
"({'C': 4.0, 'Ca': 2.0, 'O': -2.0},)"
"{'N': -3.0, 'Zr': 3.0}"
"{'Au': 5.0, 'Cl': -1.0, 'Te': -2.0}"
"({'Bi': 3.0, 'Li': 1.0, 'O': -2.0},)"
"{'Cl': -1.0, 'Pd': 2.0, 'Se': 0.0}"
"{'Au': 0.3333333333333333, 'P': -0.7142857142857143, 'Sn': 4.0}"
"({'Cr': 5.333333333333333, 'O': -2.0},)"
[]
"({'N': -3.0, 'Y': 3.0},)"
"({'Mn': 2.0, 'P': -3.0, 'Rb': 1.0},)"
"({'Ho': 3.0, 'I': -1.0, 'S': -2.0},)"
"({'Dy': 3.0, 'Te': -1.0},)"
"{'Bi': 3.0, 'S': -2.0, 'Te': -2.0}"
"{'Ag': 1.0, 'Bi': 1.0, 'P': 5.0, 'Se': -2.0}"
"({'I': -1.0, 'Yb': 2.0},)"
"({'Br': -1.0, 'O': -2.0, 'Yb': 3.0},)"
"({'Cl': -1.0, 'Pt': 2.0},)"
"({'Br': -1.0, 'Yb': 3.0},)"
"{'O': -2.0, 'Sn': 2.0, 'Ti': 4.0}"
"{'Ge': 4.0, 'O': -2.0, 'Ti': 2.0}"
"({'I': -1.0, 'Nb': 2.6666666666666665},)"
"{'Cl': -1.0, 'Pd': 4.0, 'Se': -0.25}"
