atom,std
H,86.69550097963499
He,nan
Li,nan
Be,nan
B,174.99722132801844
C,14.345364187925329
N,91.13754289061085
O,nan
F,nan
Ne,nan
Na,nan
Mg,nan
Al,nan
Si,236.49244761255653
P,88.63711158091239
S,88.35587266230881
Cl,nan
Ar,nan
K,nan
Ca,nan
Sc,59.252084552440216
Ti,46.94096873153073
V,34.50779446426385
Cr,50.28728075826536
Mn,76.87602407072751
Fe,92.79803979867351
Co,61.36169116686032
Ni,64.82385635660052
Cu,97.40696415896898
Zn,nan
Ga,91.2487442835973
Ge,55.228615771174276
As,191.95986683729097
Se,57.798447438627534
Br,39.11223167586665
Kr,nan
Rb,nan
Sr,nan
Y,nan
Zr,41.249579122431996
Nb,33.751190455195164
Mo,29.651034105565557
Tc,105.38814878705246
Ru,28.345273776320195
Rh,48.428641663104
Pd,92.70517784892061
Ag,111.35913587513663
Cd,nan
In,63.73512898446717
Sn,50.910109857613605
Sb,106.17957696328692
Te,134.08649015506845
I,45.96194077712559
Xe,nan
Cs,nan
Ba,nan
La,98.76993469674869
Ce,73.88448190700579
Pr,79.81802219215074
Nd,69.55788955970415
Pm,nan
Sm,74.5162174742295
Eu,53.233537584961645
Gd,nan
Tb,69.78753470355578
Dy,nan
Ho,nan
Er,nan
Tm,nan
Yb,56.712432499408806
Lu,nan
Hf,nan
Ta,42.25359945219657
W,29.88401822805202
Re,29.553522874366674
Os,65.58893860244329
Ir,33.778198096800054
Pt,108.23987871865546
Au,81.86562741701155
Hg,107.26136303441235
Tl,131.23388789993737
Pb,87.44598332685156
Bi,52.731912021607414
Po,nan
At,nan
Rn,nan
Fr,nan
Ra,nan
Ac,nan
Th,nan
Pa,30.445306151633073
U,26.228846351915305
Np,29.56832281827487
Pu,19.05630754219865
Am,nan
Cm,nan
Bk,nan
Cf,nan
Es,nan
Fm,nan
Md,nan
No,nan
Lr,nan
Rf,nan
Db,nan
Sg,nan
Bh,nan
Hs,nan
Mt,nan
Ds,nan
Rg,nan
Cn,nan
Nh,nan
Fl,nan
Mc,nan
Lv,nan
Ts,nan
Og,nan
