,$y$,$R_c$,$V_a$,$R_a$,$R_b$,$D_a$,$D_b$,$Ce_a$,$Ce_b$,$Ce_c$,$Dp_a$,$Dp_b$,$Fi_b$,$N_b$,$F_a$,$F_b$,$Ns_a$,$Ns_b$,$Np_a$,$Np_b$,$Nd_b$,$(En)diff_{ab}$,$(En)diff_{cb}$,$(En)diff_{ca}$,$o$,HOMO_character,HOMO_element,HOMO_energy,LUMO_character,LUMO_element,gap_AO,mean Voro_index_3,mean Voro_index_4,mean Voro_index_5,mean Voro_index_6,mean Voro_index_8,mean Voro_index_9
$y$,1.0,0.16845999527932212,0.12515186961924335,-0.030638988309130904,0.4207546508944708,-0.09652475621296,-0.0064586372768365196,-0.13103153965885214,-0.08149361716823393,-0.14594867555634694,-0.07043144832356847,0.4294051837764496,-0.24468807446387175,0.2949115113265465,-0.04677311294925368,-0.3859748177287814,0.21422394149740676,0.16337300732935994,0.08105505998554312,-0.14735139643588943,-0.31389512691292903,-0.03450177830362145,0.1253225414911175,-0.07737506805171421,0.22414930616003903,0.01779988872603521,0.12046288360645022,-0.09043175406372865,-0.15380524602677084,0.14857632887891997,0.09050051410815918,-0.1344251663113835,-0.09866759018034253,0.03355291266959116,-0.09916588475443862,-0.04703026326021255,0.0061799758690435904
$R_c$,0.16845999527932212,1.0,-0.16975908197599332,-0.014586607206007695,0.2059410896972065,0.0016069532103574196,-0.06215305889225237,-0.23423237255324109,-0.12527743204742636,0.2765331104595628,-0.13711598578919804,0.3215309343961429,-0.37212045584688774,0.2248025025725041,-0.09354724013212412,-0.18126345300780122,0.06328128109631267,0.041171666241582486,-0.19114966293817878,-0.0945982300287719,-0.24719964539588377,-0.18284736854442707,-0.7090220414226707,-0.7701608032887836,-0.5089149328710617,-0.2616858561577159,0.08039991708405964,0.31473931885972506,-0.22410365209376318,-0.09657382710551586,-0.10113529175628351,0.08385056744948298,0.16259781739542029,-0.09160349923483163,0.01796763134510182,0.09350411754723897,0.1045965298691574
$V_a$,0.12515186961924335,-0.16975908197599332,1.0,-0.46804093898368776,0.25053897298677275,0.2125033133601953,-0.19548533441429855,0.5414984013412933,-0.3183047138152755,-0.09380859114844063,-0.35262983642700546,-0.02574863835521979,0.13310770378573086,-0.1423146013990511,0.5720010031994115,-0.3048400201221145,0.22646849987930312,-0.0011609494878826742,0.6032584230641433,-0.0590600406035219,-0.00507051711745152,-0.06695910792242633,0.2626626517513229,-0.1717856132299331,0.3523806399236811,-0.02849340294529319,-0.1346458342666476,-0.2511951964642601,-0.0029677132703927267,-0.03767607513523782,0.1297967937010446,-0.24775640891268438,-0.20347600007940625,0.40912917950686195,-0.015126899598700195,-0.01162283998239644,-0.01667021247831045
$R_a$,-0.030638988309130904,-0.014586607206007695,-0.46804093898368776,1.0,-0.02187490700007788,0.07292026779205066,-0.035014868505746165,-0.4377151257062791,0.062056032364370586,0.00801674148044589,0.6088305725266329,0.15687257309855845,-0.21313665179710856,0.0681813842137701,-0.3566715519567938,0.04611452937041044,-0.060042670093671105,-0.08451172347234996,-0.4098205310688317,0.03578598992396826,-0.08935008584812275,0.23925066174157097,0.0841853564475802,0.25749247555381577,0.013519093594897455,0.0421336977422262,0.014844657262510564,0.1221217999517881,0.052137643513120675,0.16585487479717045,0.1660484181885301,0.20136362824540482,0.15221823726560568,-0.24610806962478265,0.047940097494974514,-0.03204351799761992,-0.007553648865158517
$R_b$,0.4207546508944708,0.2059410896972065,0.25053897298677275,-0.02187490700007788,1.0,-0.08992081317564608,0.02585725530410659,-0.048920474193787145,-0.31521842800516314,-0.0888765999297841,-0.01790275132383086,0.7648707478557522,-0.4524981262886041,0.742100424712481,-0.059789222316941025,-0.5172293983845142,0.13449091001702113,0.2653436502536337,0.042008090165116294,0.04450329713338216,-0.2675164645392911,-0.0018848467748005962,0.23848324109206298,-0.11085898649698116,0.7289029303231157,0.16292155993138754,0.242938023870364,-0.12624066200998293,0.007154959995925502,0.427085336778069,0.30706511288646665,-0.05364360687895719,0.033304747631287705,0.1464046487891197,0.026147625885576446,-0.030649324133994297,0.062277112428678894
$D_a$,-0.09652475621296,0.0016069532103574196,0.2125033133601953,0.07292026779205066,-0.08992081317564608,1.0,-0.12513283390228647,0.278265868130967,-0.10701197327066846,-0.034436784091568126,-0.5658823528005672,-0.12117400464233653,-0.09809552952262719,-0.1431416074562495,0.6771086410738518,0.06814875073427029,-0.03952309374831394,-0.10372613856466535,-0.11435742208641894,0.08570373536369591,0.002174618740137791,-0.21316601168260685,-0.010465198693942326,-0.523710409065757,-0.0665719739059585,-0.2172593614469771,-0.09962904198090544,-0.0516982551250516,-0.18234277986984,-0.014662437769344965,0.019803301625815267,-0.018542664468297228,0.00818653456163885,-0.04471023614346118,-0.0020361303565921834,0.05542944600039302,0.01942493634799423
$D_b$,-0.0064586372768365196,-0.06215305889225237,-0.19548533441429855,-0.035014868505746165,0.02585725530410659,-0.12513283390228647,1.0,-0.050542853502168514,0.4975932907153501,0.027090840259892838,0.03171217482664781,-0.1486832567183015,0.40165920624461227,0.5474655905092917,-0.09408787038733182,0.09091223253637953,-0.048255892380427906,-0.1943548209434416,-0.06050278530794644,-0.15235937352511525,0.4393234830352792,0.22227599912044285,-0.34050461159031004,0.10311719074726815,0.05991514560231274,0.17153891726438242,0.4030390914968783,0.046038464546204,0.17848553368488912,0.313522131258404,-0.16723226383787312,-0.0031976133394217964,-0.029429015595541654,-0.07266827783424096,-0.06626450721147586,-0.07320897665935928,-0.021724931120102608
$Ce_a$,-0.13103153965885214,-0.23423237255324109,0.5414984013412933,-0.4377151257062791,-0.048920474193787145,0.278265868130967,-0.050542853502168514,1.0,-0.07190520349892404,0.019580085825554257,-0.15994697460134946,-0.18168234092234345,0.17540021468544229,-0.2227820547378498,0.48122907662297554,-0.08538963093213908,-0.14236987718600438,-0.11702445995099663,0.3355946067306165,-0.09545675054452178,0.14073088004088632,-0.058363112616379755,0.13622884280799447,-0.14162803124582526,0.12499946443244847,0.050292300855727494,-0.07550864293319084,-0.09070113421385093,0.04445979178188449,-0.10373653734679067,-0.022660512903023733,-0.19513726884004828,-0.20202500187329206,0.23394499772376323,-0.003923531566682432,0.00575657452006013,-0.06407061418173085
$Ce_b$,-0.08149361716823393,-0.12527743204742636,-0.3183047138152755,0.062056032364370586,-0.31521842800516314,-0.10701197327066846,0.4975932907153501,-0.07190520349892404,1.0,0.07286932358556285,0.11981838929650365,-0.12765036143247355,0.28163355182498895,-0.05891587028043251,-0.12402064159730236,0.08613598991618886,-0.11483089215938957,-0.20579672513588199,-0.1255011301353278,-0.3111490144060208,0.09559075526361742,0.19695586081062152,-0.23999254933484943,0.17372472308881534,-0.18664602876720374,0.08463901272523906,0.2804648362664526,0.2924894354405994,0.1368145423920232,0.13407143357527476,-0.09186826740171639,0.01438997016795976,-0.052881039845832624,-0.12209941274623555,-0.10934580661511023,0.056741261273949066,-0.04903392527449269
$Ce_c$,-0.14594867555634694,0.2765331104595628,-0.09380859114844063,0.00801674148044589,-0.0888765999297841,-0.034436784091568126,0.027090840259892838,0.019580085825554257,0.07286932358556285,1.0,0.061306584056656045,-0.04593406890435324,-0.0022352167699462642,-0.05121976034684746,-0.06295109627358175,0.05216676882846533,-0.08182089755172926,-0.0234052421686357,-0.04939418552043985,-0.04087614803803359,0.03416350183962834,0.023218083026869982,-0.43565295236384993,-0.3124645565023399,-0.27035325879051547,-0.10353532158759413,-0.21840071330387242,0.12791686196764301,-0.0696670763577273,-0.2358539757492918,-0.07467644013474234,0.0341157213859688,0.1710812144480149,-0.05562185859374571,0.07092866740083145,-0.012524957048795375,0.1308365134308421
