,$Dp_b$,$F_b$,LUMO_character,$R_b$,$D_b$,$Nd_b$,$Ce_a$,LUMO_element,$Fi_b$,$(En)diff_{ab}$,$(En)diff_{cb}$,$o$,$y$
34,53.0,5,2,0.8647,7.29,10,1.51,8,708.6,0.6499999999999999,1.48,0.6176428571428572,0
0,68.0,4,3,0.5900000000000001,7.44,5,1.113,25,717.3,0.62,1.89,0.4214285714285715,0
269,83.0,4,3,0.71,7.15,5,2.81,24,652.9,0.15000000000000013,0.9200000000000002,0.38586956521739124,0
154,68.0,4,3,0.65,7.44,5,1.51,25,717.3,0.24,1.89,0.46428571428571436,0
173,83.0,4,3,0.62,7.15,5,1.84,24,652.9,0.6599999999999999,0.9200000000000002,0.33695652173913043,0
44,62.0,4,3,0.65,7.87,6,3.85,26,762.5,0.17999999999999972,1.6099999999999999,0.46428571428571436,0
279,65.0,5,2,0.8,7.31,10,1.16,34,558.3,0.09000000000000008,0.7699999999999998,0.4040404040404041,0
144,62.0,4,3,0.65,7.87,6,3.49,26,762.5,0.06999999999999984,1.6099999999999999,0.46428571428571436,0
64,48.0,5,2,1.03,9.81,10,1.51,83,703.0,0.71,1.42,0.7357142857142858,0
204,55.0,4,2,0.61,8.86,7,1.51,16,760.4,0.5699999999999998,0.7000000000000002,0.33152173913043476,0
242,208.0,3,4,0.98,7.01,0,1.51,60,533.1,0.17000000000000015,1.4400000000000002,0.5326086956521738,1
15,162.0,3,3,0.9,4.47,1,3.89,46,600.0,0.9800000000000002,2.2199999999999998,0.6428571428571429,0
151,55.0,4,3,0.75,10.5,10,1.35,47,731.0,0.28,1.51,0.5357142857142857,0
134,54.0,4,3,0.68,22.6,7,1.35,77,880.0,0.5500000000000003,1.2399999999999998,0.48571428571428577,0
240,97.0,3,1,0.75,2.99,1,1.51,12,633.1,0.050000000000000044,1.22,0.4076086956521739,1
137,215.0,3,4,1.03,6.15,1,1.86,63,538.1,0.09999999999999987,2.34,0.7357142857142858,1
189,83.0,4,1,0.62,7.15,5,4.28,24,652.9,0.17000000000000015,0.9200000000000002,0.33695652173913043,0
93,100.0,4,3,0.67,4.54,2,2.92,25,658.8,0.010000000000000009,1.9,0.47857142857142865,0
259,65.0,5,2,0.8,7.31,10,1.35,16,558.3,0.13000000000000012,0.8,0.43478260869565216,0
166,46.0,4,2,0.95,8.69,10,3.14,8,867.8,0.27,1.75,0.6785714285714286,0
136,71.2,2,2,0.72,1.74,0,3.14,8,737.7,0.6499999999999999,2.13,0.5142857142857143,0
185,68.0,4,3,0.7479,19.3,4,1.51,74,770.0,1.0499999999999998,0.2200000000000002,0.40646739130434784,0
161,49.0,4,2,0.6,8.91,8,3.85,8,737.1,0.09999999999999987,1.53,0.4285714285714286,1
153,55.0,4,3,0.61,8.86,7,0.67,27,760.4,0.1200000000000001,1.56,0.4357142857142857,0
103,50.0,5,1,0.62,5.91,0,1.35,31,578.8,0.16000000000000014,1.63,0.4428571428571429,0
94,137.0,3,1,0.86,9.84,1,1.72,71,523.5,0.32000000000000006,2.17,0.6142857142857143,0
178,205.0,3,4,1.01,6.77,1,1.51,58,534.4,0.18999999999999995,1.46,0.5489130434782609,0
215,62.0,4,2,0.65,7.87,6,1.35,16,762.5,0.18000000000000016,0.75,0.3532608695652174,0
183,55.0,4,1,0.61,8.86,7,3.49,27,760.4,0.020000000000000018,0.7000000000000002,0.33152173913043476,0
227,49.0,4,2,0.6,8.91,8,1.51,16,737.1,0.5999999999999999,0.6700000000000002,0.3260869565217391,0
199,100.0,4,1,0.67,4.54,2,3.49,29,658.8,0.3599999999999999,1.04,0.3641304347826087,0
24,55.0,4,3,0.61,8.86,7,3.32,27,760.4,0.30999999999999983,1.56,0.4357142857142857,0
92,50.0,5,2,0.62,5.91,0,4.44,8,578.8,0.09999999999999987,1.63,0.4428571428571429,0
148,68.0,4,3,0.7479,19.3,4,1.35,74,770.0,0.71,1.08,0.5342142857142858,1
76,62.0,4,3,0.65,7.87,6,1.51,26,762.5,0.52,1.6099999999999999,0.46428571428571436,1
207,87.0,4,3,0.69,10.2,5,1.51,42,684.3,0.8500000000000001,0.41999999999999993,0.37499999999999994,0
182,65.0,5,2,0.8,7.31,10,0.67,16,558.3,0.21999999999999997,0.8,0.43478260869565216,0
155,65.0,5,1,0.8,7.31,10,1.35,49,558.3,0.13000000000000012,1.66,0.5714285714285715,0
14,112.0,4,1,0.76475,6.51,2,1.63,40,640.1,0.3500000000000001,2.11,0.54625,0
152,62.0,4,3,0.65,7.87,6,4.39,26,762.5,0.04999999999999982,1.6099999999999999,0.46428571428571436,1
264,54.0,4,3,0.68,22.6,7,3.49,29,880.0,0.30000000000000027,0.3799999999999999,0.3695652173913044,0
116,48.0,5,2,1.03,9.81,10,1.84,83,703.0,1.02,1.42,0.7357142857142858,0
192,97.0,3,1,0.75,2.99,1,1.16,48,633.1,0.32999999999999985,1.22,0.4076086956521739,1
196,55.0,4,2,0.6799999999999999,8.86,7,3.39,16,760.4,0.2699999999999998,0.7000000000000002,0.3695652173913043,0
82,68.0,4,3,0.74,7.44,5,3.39,25,717.3,0.06000000000000005,1.89,0.5285714285714286,0
274,83.0,4,1,0.62,7.15,5,3.49,24,652.9,0.24,0.8899999999999999,0.31313131313131315,0
121,68.0,4,3,0.65,7.44,5,4.44,25,717.3,0.3599999999999999,1.89,0.46428571428571436,0
