,formula,$y$,A,B,C,hse
0,NaMn2O4,False,Na,Mn,O,0.0
1,Mg2FeO4,False,Fe,Mg,O,0.0
2,Gd2CdO4,True,Cd,Gd,O,0.0
3,CaIn2O4,True,Ca,In,O,3.6324424743652344
4,Si(NiO2)2,True,Si,Ni,O,5.292797088623047
5,Cd(RhO2)2,False,Cd,Rh,O,2.5701608657836914
6,LiTi2O4,False,Li,Ti,O,0.0
7,CaSm2O4,False,Ca,Sm,O,5.4934563636779785
8,Li(CoO2)2,False,Li,Co,O,0.0
9,Ca(SnO2)2,False,Ca,Sn,O,0.0
10,SrLa2O4,True,Sr,La,O,5.387441158294678
11,Na2MoO4,False,Mo,Na,O,5.686583518981934
12,Mg(GaO2)2,True,Mg,Ga,O,4.754502773284912
13,Cr2NiO4,False,Ni,Cr,O,0.0
14,LiZr2O4,False,Li,Zr,O,0.0
15,Y2PdO4,False,Pd,Y,O,0.0
16,Co2GeO4,False,Ge,Co,O,2.274319648742676
17,Mg2GeO4,True,Ge,Mg,O,4.775083065032959
18,Mn2ZnO4,False,Zn,Mn,O,0.0
19,Pr2PdO4,False,Pd,Pr,O,0.0
20,CaTi2O4,False,Ca,Ti,O,0.0
21,Ag2MoO4,True,Mo,Ag,O,3.146343469619751
22,Zn(MoO2)2,False,Zn,Mo,O,0.0
23,Co2NiO4,False,Ni,Co,O,0.0
24,Be(CoO2)2,False,Be,Co,O,0.0
25,LiMn2O4,False,Li,Mn,O,0.0
26,CaTb2O4,False,Ca,Tb,O,5.773237705230713
27,Co(RhO2)2,False,Co,Rh,O,0.0
28,Ca(CuO2)2,False,Ca,Cu,O,0.0
29,Li(WO2)2,False,Li,W,O,0.0
30,Mg(CoO2)2,False,Mg,Co,O,0.0
31,Ca(MoO2)2,True,Ca,Mo,O,3.7837343215942383
32,Al2CdO4,False,Cd,Al,O,4.467346668243408
33,Cd(FeO2)2,False,Cd,Fe,O,3.5615530014038086
34,Mg(SnO2)2,False,Mg,Sn,O,0.0
35,MgAl2O4,False,Mg,Al,O,6.797066688537598
36,CdIn2O4,False,Cd,In,O,2.4376535415649414
37,Co2SiO4,False,Si,Co,O,2.712589740753174
38,Na2WO4,True,W,Na,O,6.290781497955322
39,Mg(CuO2)2,False,Mg,Cu,O,0.0
40,DyMn2O4,False,Dy,Mn,O,0.0
41,Cr2HgO4,False,Hg,Cr,O,2.7511987686157227
42,Ca(CoO2)2,False,Ca,Co,O,4.045347213745117
43,Mg2CoO4,False,Co,Mg,O,2.882566452026367
44,Fe2GeO4,False,Ge,Fe,O,3.0286178588867188
45,MnCr2O4,True,Mn,Cr,O,3.796013832092285
46,Y(FeO2)2,False,Y,Fe,O,0.0
47,Al2ZnO4,False,Zn,Al,O,5.544143199920654
48,YTi2O4,False,Y,Ti,O,0.0
49,NaV2O4,True,Na,V,O,1.4089864492416382
50,Cr2CdO4,False,Cd,Cr,O,3.4815762042999268
51,Cd(CoO2)2,True,Cd,Co,O,2.13203763961792
52,Fe2HgO4,False,Hg,Fe,O,2.7311363220214844
53,AlV2O4,False,Al,V,O,0.0
54,NaCr2O4,False,Na,Cr,O,0.0
55,Cr2CoO4,True,Co,Cr,O,4.187648296356201
56,Al2CoO4,False,Co,Al,O,4.766809463500977
57,AlCr2O4,False,Al,Cr,O,0.0
58,Ga2HgO4,False,Hg,Ga,O,1.8534059524536133
59,Mn2CuO4,False,Cu,Mn,O,0.0
60,Mn(FeO2)2,False,Mn,Fe,O,2.992018222808838
61,SrNd2O4,False,Sr,Nd,O,5.226320743560791
62,Mg2SiO4,True,Si,Mg,O,6.428586006164551
63,Mg(MoO2)2,False,Mg,Mo,O,3.716188907623291
64,Mg(BiO2)2,False,Mg,Bi,O,2.845557928085327
65,V2FeO4,False,Fe,V,O,0.0
66,Mg(SbO2)2,False,Mg,Sb,O,1.7340081930160522
67,Nd2PdO4,False,Pd,Nd,O,0.0
68,Al(FeO2)2,False,Al,Fe,O,0.0
69,Zn(FeO2)2,True,Zn,Fe,O,3.4888672828674316
70,Mg(NiO2)2,False,Mg,Ni,O,0.0
71,Ti2ZnO4,False,Zn,Ti,O,0.0
72,Ca(FeO2)2,True,Ca,Fe,O,3.5412354469299316
73,Cr2FeO4,False,Fe,Cr,O,0.0
74,Co(NiO2)2,False,Co,Ni,O,0.0
75,SrSm2O4,True,Sr,Sm,O,5.410995960235596
76,Mg(FeO2)2,True,Mg,Fe,O,0.0
77,CaY2O4,False,Ca,Y,O,5.756526947021484
78,BaLa2O4,False,Ba,La,O,5.269242286682129
79,V2CdO4,False,Cd,V,O,0.0
80,EuY2O4,False,Eu,Y,O,1.9269007444381714
81,Na(FeO2)2,False,Na,Fe,O,0.0
82,Mn2AlO4,False,Al,Mn,O,0.0
83,Cr2CuO4,False,Cu,Cr,O,0.0
84,V2SiO4,False,Si,V,O,2.167576789855957
85,Al2CuO4,False,Cu,Al,O,0.0
86,Zn(CuO2)2,False,Zn,Cu,O,0.0
87,Al(CoO2)2,False,Al,Co,O,0.0
88,Zn2SnO4,True,Sn,Zn,O,1.8915128707885742
89,Fe2SiO4,False,Si,Fe,O,4.4647908210754395
90,MnV2O4,False,Mn,V,O,0.0
